params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2,fit_time
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-67.73432009,62.19567691,0.923721395,68.28571429,38.55729961,67.73432009,8.2301,7.8864,68.29%,0.9237,38.56
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-67.78752355,60.76526333,0.925475696,68.61904762,113.7464714,67.78752355,8.2333,7.7952,68.62%,0.9255,113.75
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-67.84588332,60.53524305,0.9257578,68.14285714,38.72317791,67.84588332,8.2369,7.7804,68.14%,0.9258,38.72
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-67.85697627,61.6583747,0.924380358,68.0952381,115.3011653,67.85697627,8.2375,7.8523,68.10%,0.9244,115.3
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-67.90232435,60.65905628,0.925605952,68.42857143,151.6753743,67.90232435,8.2403,7.7884,68.43%,0.9256,151.68
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-67.94471421,62.03703884,0.923915953,68.28571429,38.26970506,67.94471421,8.2429,7.8764,68.29%,0.9239,38.27
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-67.96721199,61.7696521,0.924243884,68.23809524,75.94050884,67.96721199,8.2442,7.8594,68.24%,0.9242,75.94
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-67.9729768,61.1834928,0.924962767,68.71428571,192.4194133,67.9729768,8.2446,7.822,68.71%,0.925,192.42
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-67.97745449,61.41958982,0.924673211,68.14285714,155.0808985,67.97745449,8.2448,7.8371,68.14%,0.9247,155.08
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-67.98615659,60.57625556,0.925707501,68.61904762,189.668705,67.98615659,8.2454,7.7831,68.62%,0.9257,189.67
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-68.00995318,60.86897247,0.925348504,68.57142857,115.006181,68.00995318,8.2468,7.8019,68.57%,0.9253,115.01
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-68.0132298,60.76466732,0.925476427,68.47619048,152.0930598,68.0132298,8.247,7.7952,68.48%,0.9255,152.09
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-68.05334875,61.85621646,0.924137719,68.19047619,115.5964222,68.05334875,8.2494,7.8649,68.19%,0.9241,115.6
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-68.0675543,60.469229,0.925838762,68.76190476,38.50840402,68.0675543,8.2503,7.7762,68.76%,0.9258,38.51
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-68.07498253,60.62946628,0.925642242,68.61904762,189.9655981,68.07498253,8.2508,7.7865,68.62%,0.9256,189.97
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-68.12041585,61.59488881,0.924458219,68.14285714,77.42666197,68.12041585,8.2535,7.8482,68.14%,0.9245,77.43
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-68.1449681,61.48379104,0.924594473,68.23809524,154.1749103,68.1449681,8.255,7.8412,68.24%,0.9246,154.17
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-68.15220624,62.37724256,0.923498718,68.23809524,38.31383729,68.15220624,8.2554,7.8979,68.24%,0.9235,38.31
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-68.17069839,61.06047819,0.925113636,68.52380952,192.7291033,68.17069839,8.2566,7.8141,68.52%,0.9251,192.73
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-68.24891732,61.05234486,0.925123611,68.14285714,76.82616019,68.24891732,8.2613,7.8136,68.14%,0.9251,76.83
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-68.37865317,61.00709098,0.925179112,68.42857143,152.6539035,68.37865317,8.2691,7.8107,68.43%,0.9252,152.65
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-68.40474694,60.7780855,0.925459971,68.14285714,114.6259115,68.40474694,8.2707,7.796,68.14%,0.9255,114.63
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-68.42001248,62.0151254,0.923942829,68.04761905,190.9153719,68.42001248,8.2716,7.875,68.05%,0.9239,190.92
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-68.42871305,61.98053878,0.923985247,68,152.5712929,68.42871305,8.2722,7.8728,68.00%,0.924,152.57
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-68.43003994,61.93602373,0.924039841,67.95238095,114.3370805,68.43003994,8.2722,7.8699,67.95%,0.924,114.34
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-68.44829879,62.10585936,0.92383155,68.71428571,77.05102205,68.44829879,8.2733,7.8807,68.71%,0.9238,77.05
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-68.48834814,61.15273535,0.925000489,68.38095238,190.6779389,68.48834814,8.2758,7.82,68.38%,0.925,190.68
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-68.57655404,62.02507773,0.923930623,68.33333333,76.44928765,68.57655404,8.2811,7.8756,68.33%,0.9239,76.45
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-68.61005744,61.20658245,0.92493445,68.71428571,76.44680095,68.61005744,8.2831,7.8235,68.71%,0.9249,76.45
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-69.67320398,66.33644093,0.91864304,67.80952381,37.41748285,69.67320398,8.347,8.1447,67.81%,0.9186,37.42
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-69.67763958,64.32432539,0.921110758,67.61904762,37.39187217,69.67763958,8.3473,8.0202,67.62%,0.9211,37.39
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-69.80269598,65.90332313,0.919174229,67.57142857,112.1042573,69.80269598,8.3548,8.1181,67.57%,0.9192,112.1
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-69.8031451,65.19272125,0.920045732,67.95238095,186.5129409,69.8031451,8.3548,8.0742,67.95%,0.92,186.51
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-69.85862364,65.71162626,0.919409332,67.85714286,149.2780311,69.85862364,8.3581,8.1063,67.86%,0.9194,149.28
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-69.92901449,65.88945049,0.919191243,68.04761905,74.75610971,69.92901449,8.3624,8.1172,68.05%,0.9192,74.76
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-69.92993455,63.95238303,0.921566919,67.76190476,186.734122,69.92993455,8.3624,7.997,67.76%,0.9216,186.73
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-70.00063063,64.4762485,0.920924435,67.66666667,112.036345,70.00063063,8.3666,8.0297,67.67%,0.9209,112.04
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-70.01046867,64.17779764,0.921290464,67.71428571,149.4233384,70.01046867,8.3672,8.0111,67.71%,0.9213,149.42
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-70.10066023,64.0425361,0.921456353,68,74.72162318,70.10066023,8.3726,8.0027,68.00%,0.9215,74.72
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-74.46954044,71.33281149,0.912515345,66.66666667,36.78174162,74.46954044,8.6296,8.4459,66.67%,0.9125,36.78
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-74.46954044,71.33281149,0.912515345,66.66666667,36.89105868,74.46954044,8.6296,8.4459,66.67%,0.9125,36.89
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-74.84052294,70.58561637,0.913431727,66.71428571,36.82176447,74.84052294,8.651,8.4015,66.71%,0.9134,36.82
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-74.84052294,70.58561637,0.913431727,66.71428571,36.71677899,74.84052294,8.651,8.4015,66.71%,0.9134,36.72
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-74.85534758,71.19451609,0.912684954,66.0952381,184.3765621,74.85534758,8.6519,8.4377,66.10%,0.9127,184.38
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-74.85534758,71.19451609,0.912684954,66.0952381,184.0699592,74.85534758,8.6519,8.4377,66.10%,0.9127,184.07
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-74.95539991,71.28148039,0.912578299,66.04761905,110.6159632,74.95539991,8.6577,8.4428,66.05%,0.9126,110.62
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-74.95539991,71.28148039,0.912578299,66.04761905,110.6651888,74.95539991,8.6577,8.4428,66.05%,0.9126,110.67
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-74.99885604,71.37974136,0.912457789,66,147.4594476,74.99885604,8.6602,8.4487,66.00%,0.9125,147.46
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-74.99885604,71.37974136,0.912457789,66,147.2193642,74.99885604,8.6602,8.4487,66.00%,0.9125,147.22
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-75.02462558,71.25606939,0.912609464,65.76190476,36.66019583,75.02462558,8.6617,8.4413,65.76%,0.9126,36.66
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-75.09810636,70.95756993,0.912975552,66.38095238,183.8033984,75.09810636,8.6659,8.4236,66.38%,0.913,183.8
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-75.09810636,70.95756993,0.912975552,66.38095238,183.6952415,75.09810636,8.6659,8.4236,66.38%,0.913,183.7
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-75.10425748,71.40207177,0.912430402,66.85714286,73.80189466,75.10425748,8.6663,8.45,66.86%,0.9124,73.8
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-75.10425748,71.40207177,0.912430402,66.85714286,73.76232243,75.10425748,8.6663,8.45,66.86%,0.9124,73.76
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-75.19355324,71.09776603,0.912803612,66.19047619,36.54193354,75.19355324,8.6714,8.4319,66.19%,0.9128,36.54
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-75.24281477,71.51665663,0.912289872,65.57142857,109.9646547,75.24281477,8.6743,8.4568,65.57%,0.9123,109.96
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-75.27145454,71.22769141,0.912644267,66.23809524,147.3403563,75.27145454,8.6759,8.4396,66.24%,0.9126,147.34
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-75.27145454,71.22769141,0.912644267,66.23809524,147.1493356,75.27145454,8.6759,8.4396,66.24%,0.9126,147.15
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-75.27257068,70.89293437,0.913054823,66.28571429,110.5187657,75.27257068,8.676,8.4198,66.29%,0.9131,110.52
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-75.27257068,70.89293437,0.913054823,66.28571429,110.3501468,75.27257068,8.676,8.4198,66.29%,0.9131,110.35
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-75.32599703,71.24250977,0.912626094,65.66666667,109.6507301,75.32599703,8.6791,8.4405,65.67%,0.9126,109.65
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-75.41570385,71.67705795,0.912093151,65.76190476,146.5337923,75.41570385,8.6842,8.4662,65.76%,0.9121,146.53
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-75.42994111,71.91073188,0.911806566,66,182.3571022,75.42994111,8.685,8.48,66.00%,0.9118,182.36
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-75.44220323,71.62864767,0.912152523,65.71428571,73.28409195,75.44220323,8.6857,8.4634,65.71%,0.9122,73.28
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-75.44437009,71.19005882,0.912690421,66.95238095,73.70184755,75.44437009,8.6859,8.4374,66.95%,0.9127,73.7
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-75.44437009,71.19005882,0.912690421,66.95238095,73.36589193,75.44437009,8.6859,8.4374,66.95%,0.9127,73.37
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-75.47289075,71.56535722,0.912230144,66.04761905,182.5917227,75.47289075,8.6875,8.4596,66.05%,0.9122,182.59
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-75.50303271,71.4515619,0.912369706,66.0952381,146.3151829,75.50303271,8.6892,8.4529,66.10%,0.9124,146.32
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-75.51871617,71.38626488,0.912449788,65.57142857,73.07663655,75.51871617,8.6902,8.449,65.57%,0.9124,73.08
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-120.8992374,116.7088955,0.856864783,49.0952381,21.63954377,120.8992374,10.9954,10.8032,49.10%,0.8569,21.64
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-121.2269564,116.8726053,0.856664004,49.04761905,21.63146138,121.2269564,11.0103,10.8108,49.05%,0.8567,21.63
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-122.2203946,118.3492342,0.854853023,48.19047619,64.80312419,122.2203946,11.0553,10.8788,48.19%,0.8549,64.8
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-122.2511947,118.4853472,0.85468609,48.33333333,64.76695085,122.2511947,11.0567,10.8851,48.33%,0.8547,64.77
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-122.2513566,118.8615203,0.85422474,48.95238095,21.53749943,122.2513566,11.0567,10.9024,48.95%,0.8542,21.54
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-122.3765169,119.6171872,0.853297968,48.95238095,21.53635049,122.3765169,11.0624,10.937,48.95%,0.8533,21.54
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-122.4521125,120.2452174,0.852527734,48.85714286,21.5375514,122.4521125,11.0658,10.9656,48.86%,0.8525,21.54
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-122.464996,117.8949288,0.855410197,48.38095238,43.16238928,122.464996,11.0664,10.8579,48.38%,0.8554,43.16
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-122.491044,120.003944,0.852823638,49.19047619,21.50683737,122.491044,11.0676,10.9546,49.19%,0.8528,21.51
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-122.5588714,119.1515666,0.853869019,47.95238095,86.31249833,122.5588714,11.0706,10.9157,47.95%,0.8539,86.31
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-122.5645123,118.4010598,0.854789463,48.28571429,43.2153542,122.5645123,11.0709,10.8812,48.29%,0.8548,43.22
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-122.6162893,119.4322464,0.853524785,47.9047619,86.31202149,122.6162893,11.0732,10.9285,47.90%,0.8535,86.31
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-122.647985,119.5447531,0.853386804,48.0952381,107.8397908,122.647985,11.0747,10.9337,48.10%,0.8534,107.84
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-122.7764787,119.7459309,0.853140073,48.42857143,64.40046,122.7764787,11.0805,10.9428,48.43%,0.8531,64.4
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-122.7953264,119.7966185,0.853077909,48.14285714,107.8756502,122.7953264,11.0813,10.9452,48.14%,0.8531,107.88
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-122.8531259,119.2730038,0.853720085,48.38095238,64.41398597,122.8531259,11.0839,10.9212,48.38%,0.8537,64.41
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-123.1619715,119.4776573,0.853469092,49.23809524,21.45867157,123.1619715,11.0978,10.9306,49.24%,0.8535,21.46
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-123.1859636,120.4047885,0.852332031,48.80952381,21.43440437,123.1859636,11.0989,10.9729,48.81%,0.8523,21.43
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-123.1993647,120.1176487,0.852684188,48.85714286,21.41538811,123.1993647,11.0995,10.9598,48.86%,0.8527,21.42
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-123.2499517,120.2787872,0.852486563,48.04761905,85.84803772,123.2499517,11.1018,10.9672,48.05%,0.8525,85.85
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-123.2543253,120.3492532,0.852400141,48.47619048,64.43514514,123.2543253,11.102,10.9704,48.48%,0.8524,64.44
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-123.2552916,119.3484642,0.853627538,49.28571429,21.4930656,123.2552916,11.102,10.9247,49.29%,0.8536,21.49
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-123.3194013,119.3286608,0.853651826,48.42857143,42.95744538,123.3194013,11.1049,10.9238,48.43%,0.8537,42.96
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-123.3310799,119.1775701,0.853837128,48.52380952,43.02229071,123.3310799,11.1055,10.9168,48.52%,0.8538,43.02
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-123.3429024,119.9804654,0.852852433,48.0952381,85.86455798,123.3429024,11.106,10.9536,48.10%,0.8529,85.86
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-123.4064678,120.643444,0.852039337,48.47619048,64.4352777,123.4064678,11.1088,10.9838,48.48%,0.852,64.44
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-123.4465217,120.7131426,0.851953857,48.14285714,107.3209856,123.4465217,11.1106,10.987,48.14%,0.852,107.32
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-123.5344061,120.6561827,0.852023714,48.52380952,42.95513225,123.5344061,11.1146,10.9844,48.52%,0.852,42.96
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-123.5345157,121.0458899,0.851545765,48.66666667,42.98576021,123.5345157,11.1146,11.0021,48.67%,0.8515,42.99
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-123.5382808,120.3952429,0.852343738,48.0952381,107.3370206,123.5382808,11.1148,10.9725,48.10%,0.8523,107.34
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-123.6884297,120.8115521,0.851833164,48.14285714,85.82028604,123.6884297,11.1215,10.9914,48.14%,0.8518,85.82
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-123.7991962,121.1609558,0.851404645,48.19047619,107.2968817,123.7991962,11.1265,11.0073,48.19%,0.8514,107.3
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-123.8398916,120.1135115,0.852689262,48.28571429,64.2463367,123.8398916,11.1283,10.9596,48.29%,0.8527,64.25
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-123.8416033,120.6325659,0.852052678,48.0952381,64.2597959,123.8416033,11.1284,10.9833,48.10%,0.8521,64.26
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-123.8434723,120.9013748,0.851723003,48.28571429,85.79682064,123.8434723,11.1285,10.9955,48.29%,0.8517,85.8
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-123.8482377,120.3169909,0.852439709,48.14285714,64.14302492,123.8482377,11.1287,10.9689,48.14%,0.8524,64.14
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-123.8529734,120.3910963,0.852348823,48.57142857,42.78118277,123.8529734,11.1289,10.9723,48.57%,0.8523,42.78
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-123.9077098,121.2391005,0.851308806,48.19047619,107.1217372,123.9077098,11.1314,11.0109,48.19%,0.8513,107.12
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-123.9218051,121.0744912,0.851510688,48.23809524,64.27798748,123.9218051,11.132,11.0034,48.24%,0.8515,64.28
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-123.9243976,120.2629777,0.852505952,48.47619048,42.78177071,123.9243976,11.1321,10.9664,48.48%,0.8525,42.78
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-123.994824,121.0239524,0.85157267,48.14285714,85.73715806,123.994824,11.1353,11.0011,48.14%,0.8516,85.74
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-124.033668,121.3200759,0.851209496,48.23809524,85.93158221,124.033668,11.137,11.0145,48.24%,0.8512,85.93
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-124.0361625,121.6384194,0.85081907,48.19047619,107.2334394,124.0361625,11.1372,11.029,48.19%,0.8508,107.23
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-124.0631291,121.9484945,0.850438785,48.14285714,107.3604662,124.0631291,11.1384,11.043,48.14%,0.8504,107.36
