params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2,fit_time
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-52.92391573,42.32786586,0.948087862,80.33333333,218.0464313,52.92391573,7.2749,6.506,80.33%,0.9481,218.05
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-53.01787459,43.80680411,0.946274049,80.19047619,71.55464816,53.01787459,7.2813,6.6187,80.19%,0.9463,71.55
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-53.02043156,42.35909822,0.948049558,80.47619048,144.3464911,53.02043156,7.2815,6.5084,80.48%,0.948,144.35
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-53.05512815,43.53224943,0.946610771,80.33333333,143.1596005,53.05512815,7.2839,6.5979,80.33%,0.9466,143.16
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-53.05673126,43.4848718,0.946668876,80.57142857,214.7904525,53.05673126,7.284,6.5943,80.57%,0.9467,214.79
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-53.06045356,43.55443852,0.946583557,80.33333333,287.536746,53.06045356,7.2843,6.5996,80.33%,0.9466,287.54
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-53.06303498,40.2980141,0.950577332,82.80952381,82.29021144,53.06303498,7.2844,6.3481,82.81%,0.9506,82.29
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-53.07253235,40.15074289,0.95075795,82.76190476,86.67081642,53.07253235,7.2851,6.3365,82.76%,0.9508,86.67
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-53.07916544,43.48642418,0.946666972,80.57142857,356.6397643,53.07916544,7.2855,6.5944,80.57%,0.9467,356.64
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-53.13474973,43.52948817,0.946614157,80.14285714,359.0457678,53.13474973,7.2894,6.5977,80.14%,0.9466,359.05
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-53.16047339,43.30625734,0.946887934,80.19047619,287.4571543,53.16047339,7.2911,6.5807,80.19%,0.9469,287.46
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-53.24537659,42.93324169,0.947345411,80.47619048,72.01365042,53.24537659,7.2969,6.5523,80.48%,0.9473,72.01
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-53.25677029,43.38816354,0.946787482,80.28571429,143.6020265,53.25677029,7.2977,6.587,80.29%,0.9468,143.6
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-53.26097245,43.37082115,0.946808751,80.33333333,215.6934447,53.26097245,7.298,6.5857,80.33%,0.9468,215.69
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-53.26939726,43.59551317,0.946533182,80.28571429,71.75676322,53.26939726,7.2986,6.6027,80.29%,0.9465,71.76
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-53.51637082,44.03219061,0.945997628,80.04761905,283.3252254,53.51637082,7.3155,6.6357,80.05%,0.946,283.33
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-53.52022632,43.84234856,0.946230456,80.0952381,358.1824548,53.52022632,7.3158,6.6214,80.10%,0.9462,358.18
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-53.54294628,44.24481864,0.945736855,80.0952381,212.1100976,53.54294628,7.3173,6.6517,80.10%,0.9457,212.11
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-53.58205218,44.32465801,0.945638938,80.0952381,141.7956953,53.58205218,7.32,6.6577,80.10%,0.9456,141.8
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-53.63812538,43.72636494,0.946372702,80.66666667,351.8525641,53.63812538,7.3238,6.6126,80.67%,0.9464,351.85
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-53.6591091,44.64171648,0.945250088,79.71428571,70.82152581,53.6591091,7.3252,6.6814,79.71%,0.9453,70.82
