params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-64.21369361,62.01367013,0.922984708,76.78018576,125.2096605,64.21369361,8.0133,7.8749,76.78%,0.923
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-64.24770092,61.98810267,0.92301646,77.20885925,82.89403701,64.24770092,8.0155,7.8733,77.21%,0.923
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-64.26815556,61.93712262,0.923079773,77.20885925,83.27604532,64.26815556,8.0167,7.87,77.21%,0.9231
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-64.46475691,61.06333666,0.924164935,77.11359848,41.41127968,64.46475691,8.029,7.8143,77.11%,0.9242
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-64.49704189,61.11829356,0.924096683,77.11359848,41.44142818,64.49704189,8.031,7.8178,77.11%,0.9241
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-66.72175738,64.41783684,0.919998953,77.51845678,119.7131813,66.72175738,8.1683,8.0261,77.52%,0.92
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-66.72175738,64.41783684,0.919998953,77.51845678,119.4079692,66.72175738,8.1683,8.0261,77.52%,0.92
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-66.72352093,64.42404342,0.919991245,77.49464158,120.4319124,66.72352093,8.1684,8.0265,77.49%,0.92
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-66.72352093,64.42404342,0.919991245,77.49464158,120.017838,66.72352093,8.1684,8.0265,77.49%,0.92
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-66.72639427,64.37730577,0.920049289,77.63753275,301.1248462,66.72639427,8.1686,8.0235,77.64%,0.92
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-66.72639427,64.37730577,0.920049289,77.63753275,300.7203097,66.72639427,8.1686,8.0235,77.64%,0.92
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-66.73700084,64.35623829,0.920075453,77.56608716,301.5840771,66.73700084,8.1693,8.0222,77.57%,0.9201
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-66.73700084,64.35623829,0.920075453,77.56608716,298.6515777,66.73700084,8.1693,8.0222,77.57%,0.9201
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-66.74383974,64.38431392,0.920040585,77.49464158,240.8739321,66.74383974,8.1697,8.024,77.49%,0.92
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-66.74383974,64.38431392,0.920040585,77.49464158,241.2295113,66.74383974,8.1697,8.024,77.49%,0.92
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-66.75092893,64.35839072,0.92007278,77.47082639,241.6114802,66.75092893,8.1701,8.0224,77.47%,0.9201
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-66.75092893,64.35839072,0.92007278,77.47082639,239.2954094,66.75092893,8.1701,8.0224,77.47%,0.9201
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-66.75937872,64.28122801,0.920168609,77.49464158,180.4153562,66.75937872,8.1706,8.0176,77.49%,0.9202
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-66.75937872,64.28122801,0.920168609,77.49464158,181.0757523,66.75937872,8.1706,8.0176,77.49%,0.9202
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-66.76221429,64.26562911,0.920187981,77.54227197,179.4314737,66.76221429,8.1708,8.0166,77.54%,0.9202
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-66.76221429,64.26562911,0.920187981,77.54227197,179.5368493,66.76221429,8.1708,8.0166,77.54%,0.9202
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-66.99846708,63.77345262,0.920799219,77.49464158,59.62606692,66.99846708,8.1853,7.9858,77.49%,0.9208
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-66.99846708,63.77345262,0.920799219,77.49464158,59.50122309,66.99846708,8.1853,7.9858,77.49%,0.9208
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-67.01509913,63.80301878,0.920762501,77.49464158,59.89818645,67.01509913,8.1863,7.9877,77.49%,0.9208
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-67.01509913,63.80301878,0.920762501,77.49464158,59.90621924,67.01509913,8.1863,7.9877,77.49%,0.9208
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-67.37300344,64.99173065,0.919286229,77.32793522,294.8151462,67.37300344,8.2081,8.0617,77.33%,0.9193
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-67.38110651,65.00150142,0.919274095,77.32793522,298.1496952,67.38110651,8.2086,8.0624,77.33%,0.9193
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-67.39696833,65.0523841,0.919210903,77.11359848,117.6804416,67.39696833,8.2096,8.0655,77.11%,0.9192
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-67.41125539,64.97213704,0.919310563,77.20885925,235.6533396,67.41125539,8.2104,8.0605,77.21%,0.9193
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-67.42191411,64.89723519,0.919403584,77.08978328,176.71701,67.42191411,8.2111,8.0559,77.09%,0.9194
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-67.42390606,64.98659714,0.919292605,77.16122886,237.6054153,67.42390606,8.2112,8.0614,77.16%,0.9193
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-67.42835476,65.07069958,0.919188157,77.04215289,118.601584,67.42835476,8.2115,8.0666,77.04%,0.9192
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-67.43741618,64.89688805,0.919404015,77.11359848,177.5371873,67.43741618,8.212,8.0559,77.11%,0.9194
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-67.70229062,64.34957828,0.920083724,77.20885925,58.63041782,67.70229062,8.2281,8.0218,77.21%,0.9201
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-67.72474926,64.33823707,0.920097808,77.16122886,59.17974472,67.72474926,8.2295,8.0211,77.16%,0.9201
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-67.76987326,65.81604699,0.918262504,76.58966421,81.20246577,67.76987326,8.2322,8.1127,76.59%,0.9183
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-67.76987326,65.81604699,0.918262504,76.58966421,81.22935915,67.76987326,8.2322,8.1127,76.59%,0.9183
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-67.77275354,65.7833211,0.918303147,76.54203382,80.77595091,67.77275354,8.2324,8.1107,76.54%,0.9183
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-67.77275354,65.7833211,0.918303147,76.54203382,80.68711042,67.77275354,8.2324,8.1107,76.54%,0.9183
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-67.78941463,65.77922144,0.918308238,76.68492498,203.0278945,67.78941463,8.2334,8.1104,76.68%,0.9183
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-67.78941463,65.77922144,0.918308238,76.68492498,201.4325356,67.78941463,8.2334,8.1104,76.68%,0.9183
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",-67.79428199,65.78217525,0.91830457,76.66110979,201.4444983,67.79428199,8.2337,8.1106,76.66%,0.9183
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-67.79428199,65.78217525,0.91830457,76.66110979,200.932112,67.79428199,8.2337,8.1106,76.66%,0.9183
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-67.80112768,65.67447086,0.918438329,76.63729459,121.1109068,67.80112768,8.2341,8.104,76.64%,0.9184
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-67.80112768,65.67447086,0.918438329,76.63729459,120.9285812,67.80112768,8.2341,8.104,76.64%,0.9184
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-67.80322738,65.68774462,0.918421844,76.63729459,121.803442,67.80322738,8.2343,8.1048,76.64%,0.9184
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-67.80322738,65.68774462,0.918421844,76.63729459,121.6884212,67.80322738,8.2343,8.1048,76.64%,0.9184
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-67.80660957,65.78838049,0.918296863,76.58966421,161.2159643,67.80660957,8.2345,8.111,76.59%,0.9183
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-67.80660957,65.78838049,0.918296863,76.58966421,160.8074083,67.80660957,8.2345,8.111,76.59%,0.9183
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",-67.80672999,65.78691826,0.918298679,76.58966421,162.6294789,67.80672999,8.2345,8.1109,76.59%,0.9183
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",-67.80672999,65.78691826,0.918298679,76.58966421,161.7670372,67.80672999,8.2345,8.1109,76.59%,0.9183
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-68.00544694,65.13443392,0.919109005,76.70874018,40.67540574,68.00544694,8.2465,8.0706,76.71%,0.9191
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-68.00544694,65.13443392,0.919109005,76.70874018,40.52337003,68.00544694,8.2465,8.0706,76.71%,0.9191
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-68.01322265,65.04413702,0.919221145,76.73255537,40.41861773,68.01322265,8.247,8.065,76.73%,0.9192
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-68.01322265,65.04413702,0.919221145,76.73255537,40.34560752,68.01322265,8.247,8.065,76.73%,0.9192
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-68.42819085,66.43913957,0.91748868,76.32769707,199.7143512,68.42819085,8.2721,8.151,76.33%,0.9175
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-68.43486025,66.43748693,0.917490733,76.30388188,199.1612604,68.43486025,8.2725,8.1509,76.30%,0.9175
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-68.44116863,66.45794866,0.917465321,76.23243629,79.64340019,68.44116863,8.2729,8.1522,76.23%,0.9175
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-68.44225314,66.44428345,0.917482292,76.23243629,79.73620081,68.44225314,8.273,8.1513,76.23%,0.9175
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-68.46661184,66.42087918,0.917511358,76.11336032,159.4929328,68.46661184,8.2745,8.1499,76.11%,0.9175
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-68.47267124,66.41002807,0.917524834,76.11336032,158.9793255,68.47267124,8.2748,8.1492,76.11%,0.9175
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-68.47330529,66.32773329,0.917627037,76.23243629,119.8012979,68.47330529,8.2749,8.1442,76.23%,0.9176
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-68.4806733,66.31901291,0.917637867,76.23243629,119.6340137,68.4806733,8.2753,8.1436,76.23%,0.9176
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-68.70076843,65.68112058,0.91843007,76.51821862,39.90404296,68.70076843,8.2886,8.1044,76.52%,0.9184
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-68.72893298,65.67555464,0.918436983,76.6134794,39.86297369,68.72893298,8.2903,8.104,76.61%,0.9184
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-76.9347016,77.89507481,0.903261459,69.3498452,52.83735466,76.9347016,8.7712,8.8258,69.35%,0.9033
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-76.99890745,78.05248598,0.903065969,69.3736604,79.41512632,76.99890745,8.7749,8.8347,69.37%,0.9031
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-77.00737601,77.83327253,0.903338212,69.3736604,53.57152438,77.00737601,8.7754,8.8223,69.37%,0.9033
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-77.04244962,77.976538,0.903160289,69.3498452,80.21437955,77.04244962,8.7774,8.8304,69.35%,0.9032
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-77.06227227,78.41632906,0.902614109,69.20695404,132.755604,77.06227227,8.7785,8.8553,69.21%,0.9026
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-77.0750846,78.36023299,0.902683775,69.20695404,134.0355546,77.0750846,8.7792,8.8521,69.21%,0.9027
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-77.0772308,78.26492614,0.902802138,69.42129078,105.9956286,77.0772308,8.7794,8.8467,69.42%,0.9028
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-77.09787348,78.20828982,0.902872475,69.3736604,107.073056,77.09787348,8.7805,8.8435,69.37%,0.9029
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-77.14523315,76.75857902,0.904672883,69.3498452,26.53513193,77.14523315,8.7832,8.7612,69.35%,0.9047
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-77.22938664,76.78250668,0.904643167,69.39747559,26.75014925,77.22938664,8.788,8.7626,69.40%,0.9046
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-77.36789888,78.35527235,0.902689936,69.15932365,52.69011021,77.36789888,8.7959,8.8519,69.16%,0.9027
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-77.42767037,78.29339046,0.902766787,69.15932365,53.08306336,77.42767037,8.7993,8.8484,69.16%,0.9028
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-77.45882085,78.53294754,0.90246928,69.15932365,78.68740106,77.45882085,8.8011,8.8619,69.16%,0.9025
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-77.46863122,78.50887068,0.902499181,69.15932365,79.759835,77.46863122,8.8016,8.8605,69.16%,0.9025
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-77.48735524,78.82884194,0.902101806,68.9449869,131.9201922,77.48735524,8.8027,8.8786,68.94%,0.9021
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-77.49161121,78.68209954,0.902284046,69.01643248,105.0823162,77.49161121,8.8029,8.8703,69.02%,0.9023
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-77.50069948,78.80534802,0.902130983,69.01643248,132.5971692,77.50069948,8.8034,8.8772,69.02%,0.9021
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-77.51335113,78.66049968,0.902310871,69.06406287,106.0230486,77.51335113,8.8042,8.8691,69.06%,0.9023
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-77.54729415,77.1737106,0.904157327,69.23076923,26.26594067,77.54729415,8.8061,8.7849,69.23%,0.9042
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-77.57810291,77.63992611,0.90357833,69.30221481,52.48789644,77.57810291,8.8078,8.8114,69.30%,0.9036
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-77.62806767,76.50590162,0.904986685,69.61181234,26.3156991,77.62806767,8.8107,8.7468,69.61%,0.905
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-77.67376252,77.18784735,0.904139771,69.20695404,26.57043386,77.67376252,8.8133,8.7857,69.21%,0.9041
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-77.67470862,77.65061593,0.903565055,69.3498452,52.86700678,77.67470862,8.8133,8.812,69.35%,0.9036
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-77.67812711,77.84289424,0.903326262,69.27839962,78.8657577,77.67812711,8.8135,8.8229,69.28%,0.9033
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-77.68060266,78.0391761,0.903082498,69.18313884,131.3546724,77.68060266,8.8137,8.834,69.18%,0.9031
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-77.7109975,78.02933626,0.903094719,69.18313884,132.6127429,77.7109975,8.8154,8.8334,69.18%,0.9031
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-77.7405536,77.97628203,0.903160607,69.18313884,105.1055887,77.7405536,8.8171,8.8304,69.18%,0.9032
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-77.74860768,77.84516915,0.903323437,69.30221481,79.36515093,77.74860768,8.8175,8.823,69.30%,0.9033
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-77.75409629,76.53484981,0.904950734,69.63562753,26.48477411,77.75409629,8.8178,8.7484,69.64%,0.905
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-77.78401369,77.78922859,0.90339291,69.30221481,52.82109642,77.78401369,8.8195,8.8198,69.30%,0.9034
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-77.78537963,77.97919744,0.903156986,69.20695404,105.8580313,77.78537963,8.8196,8.8306,69.21%,0.9032
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-77.8220759,77.80790334,0.903369718,69.27839962,52.42332959,77.8220759,8.8217,8.8209,69.28%,0.9034
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-77.83610536,76.61831065,0.904847083,69.56418195,26.41951537,77.83610536,8.8225,8.7532,69.56%,0.9048
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-77.83852516,78.18883696,0.902896633,69.13550845,132.2217042,77.83852516,8.8226,8.8424,69.14%,0.9029
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-77.84721652,77.99573913,0.903136443,69.20695404,79.12836695,77.84721652,8.8231,8.8315,69.21%,0.9031
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-77.86105592,78.19751114,0.902885861,69.11169326,130.7647283,77.86105592,8.8239,8.8429,69.11%,0.9029
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-77.87234349,78.00573847,0.903124025,69.20695404,78.64445591,77.87234349,8.8245,8.8321,69.21%,0.9031
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-77.90071373,78.09492821,0.903013259,69.15932365,105.473834,77.90071373,8.8261,8.8371,69.16%,0.903
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-77.90610836,76.66452783,0.904789686,69.58799714,26.26486039,77.90610836,8.8264,8.7558,69.59%,0.9048
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-77.91866986,78.12345247,0.902977835,69.18313884,104.7715547,77.91866986,8.8272,8.8387,69.18%,0.903
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-78.27680492,79.08020565,0.901789635,68.9688021,52.43001914,78.27680492,8.8474,8.8927,68.97%,0.9018
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-78.29920555,79.21400779,0.901623465,68.92117171,78.54646444,78.29920555,8.8487,8.9002,68.92%,0.9016
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-78.32206916,79.59609086,0.901148953,68.82591093,130.9817114,78.32206916,8.85,8.9217,68.83%,0.9011
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-78.33871084,79.40196021,0.901390046,68.92117171,104.8303096,78.33871084,8.8509,8.9108,68.92%,0.9014
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-78.34486698,79.12397755,0.901735274,68.9449869,52.79754877,78.34486698,8.8513,8.8952,68.94%,0.9017
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-78.3688781,79.23360633,0.901599126,68.92117171,79.08281422,78.3688781,8.8526,8.9013,68.92%,0.9016
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-78.36904364,79.60801183,0.901134148,68.80209574,131.9055002,78.36904364,8.8526,8.9223,68.80%,0.9011
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-78.40589391,79.41526035,0.901373528,68.92117171,105.6509948,78.40589391,8.8547,8.9115,68.92%,0.9014
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-78.47781359,78.01453394,0.903113102,69.13550845,26.31455469,78.47781359,8.8588,8.8326,69.14%,0.9031
"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-78.5847719,78.08870218,0.903020992,69.11169326,26.48278332,78.5847719,8.8648,8.8368,69.11%,0.903
"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-78.6785361,78.71528387,0.902242835,69.04024768,52.02507186,78.6785361,8.8701,8.8722,69.04%,0.9022
