params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-59.87302818,58.38380581,0.927492666,79.20933556,93.17861772,59.87302818,7.7378,7.6409,79.21%,0.9275
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-59.88813919,58.468113,0.927387964,79.23315075,93.73889875,59.88813919,7.7387,7.6464,79.23%,0.9274
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-60.15323653,58.00573373,0.927962197,79.18552036,47.03124905,60.15323653,7.7559,7.6161,79.19%,0.928
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-60.22301166,57.73791032,0.928294809,79.30459633,46.56815052,60.22301166,7.7603,7.5985,79.30%,0.9283
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-60.46607127,57.536073,0.928545473,79.0426292,133.9620051,60.46607127,7.776,7.5853,79.04%,0.9285
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-60.49197215,57.69418004,0.928349118,79.018814,267.9897885,60.49197215,7.7777,7.5957,79.02%,0.9283
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-60.49248755,57.7993632,0.92821849,79.13788997,334.1198404,60.49248755,7.7777,7.6026,79.14%,0.9282
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-60.50000748,57.64035712,0.928415961,79.0426292,201.1300836,60.50000748,7.7782,7.5921,79.04%,0.9284
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-60.53137812,56.54234522,0.929779591,78.97118362,66.77517724,60.53137812,7.7802,7.5195,78.97%,0.9298
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-60.53833923,57.9143873,0.928075641,79.16170517,337.1822317,60.53833923,7.7806,7.6102,79.16%,0.9281
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-60.54003273,57.63315404,0.928424907,79.13788997,133.8104208,60.54003273,7.7807,7.5917,79.14%,0.9284
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-60.54740747,57.73247687,0.928301557,78.99499881,201.5682304,60.54740747,7.7812,7.5982,78.99%,0.9283
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-60.55024901,57.83546191,0.928173659,79.0426292,270.1987901,60.55024901,7.7814,7.605,79.04%,0.9282
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-60.58476042,56.65792085,0.929636057,78.94736842,66.84131336,60.58476042,7.7836,7.5271,78.95%,0.9296
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-60.64722498,60.39234236,0.924998248,78.6377709,221.2720039,60.64722498,7.7876,7.7713,78.64%,0.925
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-60.65620754,60.05071667,0.925422516,78.59014051,134.8684731,60.65620754,7.7882,7.7492,78.59%,0.9254
