formula,Tc,type
Ba1.72Cu1.38O1.28Y1.98,95.0,original
Ba1.72Cu1.39H0.66O1.31Y2.04,95.0,original
Ba1.72Cu1.39Nd4.84O1.31,95.0,original
Ba1.72Cu0.13Hg6.51O0.59,95.0,original
Ba1.72Cu1.39Nd4.84O1.31,95.0,original
Ba1.72Cu1.36O1.29Y2.04,95.0,original
Ba1.72Cu1.39O1.31Y2.04,95.0,original
Bi13.3Ca4.78Cu5.17O8.89Sr13.79,95.0,original
Ba3.88Cu3.91O3.27Y4.44,95.0,original
Ba1.72Cu0.13Hg7.24O0.53,95.0,original
Ba1.72Cu1.39Gd8.95O1.31,95.0,original
Bi3.16Ca0.55Cu0.76O1.59Sr3.93,95.0,original
Ba1.72Cu1.39O1.28Y2.04,95.0,original
Ba1.72Cu0.13Hg7.24O0.5,95.0,original
Ba1.72Cu1.39Eu6.81O1.28,94.0,original
Ba1.72Cu1.39Gd8.95O1.31,94.0,original
Ba1.72Cu1.39O1.3Sm6.8,94.0,original
Ba1.72Cu1.39O1.31Y2.04,94.0,original
Bi3.16Ca1.05Cu0.76Li4.3O1.51Sr2.16,94.0,original
Ba1.66Cu1.39O1.3Y2.04,94.0,original
Ba1.64Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu0.13Hg7.24O0.5,94.0,original
Ba1.72Cu1.39Nd4.84O1.25,94.0,original
Ba1.72Cu1.39Dy10.45O1.24,94.0,original
Ba1.72Cu1.39Eu6.81O1.26,94.0,original
Ba1.72Ca2.29Cu1.39Hg7.24O1.64,94.0,original
Ba1.72Cu0.13Hg7.24O0.53,94.0,original
Ba1.72Ca2.29Cu1.39Hg7.24O1.64,94.0,original
Ba1.72Cu1.39Eu6.81O1.28,94.0,original
Bi3.16Ca1.05Cu0.76O1.66Sr3.04,94.0,original
Ba1.61Cu1.39O1.31Y2.04,94.0,original
Ba1.72Cu1.39O1.26Y2.04,94.0,original
Ba1.72Cu1.39Er7.41O1.31,94.0,original
Ba1.72Cu1.39Gd8.95O1.33,94.0,original
Ba1.72Cu1.39Eu5.43O1.31Y0.13,94.0,original
Ba1.72Cu1.39H1.32O1.31Y2.04,94.0,original
Ba1.67Cu1.39O1.3Y2.04,94.0,original
Ba1.78Cu0.15Hg6.66O0.49,94.0,original
Ba1.72Cu0.13Hg6.51O0.59,94.0,original
Ba1.72Cu1.39O1.28Y2.04,94.0,original
Ba1.4Cs3.1Cu1.39O1.2Y2.04,94.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,94.0,original
Ba1.72Cu0.13Hg6.14O0.61Re0.17,94.0,original
Ba1.72Cu0.13Hg6.14O0.63Re0.17,94.0,original
Ba1.72Cu1.39O1.2Y1.92,94.0,original
Ba1.72Cu1.39H1.68O1.31Y2.04,94.0,original
Ba1.72Ca0.8Cu0.76Gd1.7O1.31Tl4.41,94.0,original
Ba1.72Cu1.39H1.72O1.31Y2.04,94.0,original
Ba1.6Cu1.39O1.3Y2.04,94.0,original
Ba1.68Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39Er7.65O1.31,94.0,original
Ba1.72Cu1.39Eu6.81O1.3,94.0,original
Ba1.72Cu1.39Gd8.95O1.31,94.0,original
Ba1.72Cu1.39O1.28Y2.04,94.0,original
Bi3.16Ca0.24Cu0.76O1.59Sr4.37,94.0,original
Ba1.72Cu1.39O1.34Sm6.8,94.0,original
Bi6.54Ca3.54Cu2.02O3.82Sr4.98,94.0,original
Ba1.72Cu1.39Nd4.84O1.31,94.0,original
Ba1.72Cu1.39H0.4O1.31Y2.04,94.0,original
Ba1.72Cu1.39H0.62O1.31Y2.04,94.0,original
Ba1.61Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.29Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.72Cu1.39O1.28Y2.04,94.0,original
Ba1.72Cu1.39O1.3Y2.04,94.0,original
Ba1.61Cs0.99Cu1.39O1.21Y2.04,94.0,original
Ba1.72Cu1.39O1.23Y2.04,94.0,original
Ba1.72Cu1.38O1.28Y2.04,94.0,original
Ba1.72Cu1.39O1.31Y2.04,94.0,original
Ba1.78Cu0.15Hg6.66O0.49,94.0,original
