formula,Tc,type
Ba1.72Cu1.39O1.21Y2.04,62.0,original
Ca0.3Cu0.76O1.31Sr3.22Tb8.3Tl4.41,62.0,original
Ba1.72Cu1.36O1.31Y2.04,62.0,original
Ba1.72Cu1.02Fe0.51O1.44Y2.04,62.0,original
Ba1.72Cu1.36Dy10.45O1.28,62.0,original
Ba1.72Cu2.02O1.59Y2.04,62.0,original
Ba0.75Ca0.3Cu1.39La1.83O1.34,62.0,original
Ba1.72Cu1.39O1.24Y2.04,62.0,original
Ba1.72Cu1.39O1.24Y2.04,62.0,original
Ba1.18Cu1.39La0.76O1.27Sr0.58,62.0,original
Ba1.72Cu2.02O1.59Pr0.13Y1.56,62.0,original
F0.41Fe1.02La1.11P1.78,62.0,original
Ba1.72Cu1.39O1.17Y1.56,62.0,original
Ba1.51Cu1.39O1.36Y2.04,62.0,original
Ba1.72Cu1.39O1.22Y2.04,62.0,original
O1.03Ru1.25Sr3.22Y2.04,62.0,original
Ba1.72Cu1.39O1.27Y1.8,62.0,original
Ba1.4Cu1.39La0.11O1.33Y2.04,62.0,original
Ba1.72Cu1.37O1.25Y2.04,62.0,original
Ba1.51Cu1.39O1.28Y2.04,62.0,original
Ba1.72Cu1.39O1.2Y2.04,62.0,original
Ba1.72Cu1.39O1.18Y2.04,62.0,original
Ba1.72Cu1.39Er7.65O1.21,62.0,original
Ba1.72Cu1.39O1.2Y2.04,62.0,original
Ba1.72Cu1.39O1.2Y2.04,62.0,original
Ba1.72Cu1.39O1.2Y2.04,62.0,original
Ba1.72Cu1.39O1.2Y2.04,62.0,original
Ba1.72Cu1.39Er5.32O1.31Pr0.21,62.0,original
Ba1.72Cu1.39O1.21Y2.04,62.0,original
Ba1.72Cu1.39O1.24Y2.04,62.0,original
Bi3.16Ca0.68Cu0.76O1.59Pr0.21Sr3.22,61.0,original
Ba1.72Cu2.02O1.59Pr0.21Y1.32,61.0,original
Ba1.72Cu0.76O2.15Sr3.22Tl4.41,61.0,original
Ba1.61Cu2.02O1.59Y2.04,61.0,original
Ba1.58Cu2.02O1.59Y2.04,61.0,original
Ba1.4Cu1.39La0.11O1.32Y2.04,61.0,original
Ba0.1Cu1.27Ga0.18O1.37Sr2.34Y2.04,61.0,original
Ba1.29Cu1.39O1.2Sr0.4Yb8.41,61.0,original
Ba1.29Ca0.24Cu0.76O1.15Sr0.4Yb6.41,61.0,original
Ba1.72Cu2.02O1.59Pr0.21Y1.32,61.0,original
Ba1.72Cu0.76N0.49O2.15Sr3.22Tl4.41,61.0,original
Ba1.72Cu0.76N1.09O2.15Sr3.22Tl4.41,61.0,original
Ba1.72Ca0.12CoCu1.24O1.26Y1.44,61.0,original
Ba1.72Cu0.13Hg7.24O0.48,61.0,original
Ba1.72Cu1.92O1.59Y2.04,61.0,original
Ba1.72Cu1.92O1.59Y2.04,61.0,original
Cu0.76Gd8.04O1.59Ru2.65Sr3.22,61.0,original
Ba1.4Cu1.39Lu2.27O1.28Pr0.21Sr0.22,61.0,original
Ba1.72Cu0.13Hg7.24O0.48,61.0,original
Ba1.72Cu0.13Hg7.24O0.48,61.0,original
Ba1.72Cu1.39O1.17Y1.56,61.0,original
Ca0.8Cu0.76Gd2.61O1.31Sr3.22Tl3.05,61.0,original
Ba1.72Cu1.39O1.21Y2.04,61.0,original
Ba1.72Cu1.39O1.23Y2.04,61.0,original
Ba1.72Cu1.36O1.27Y2.04,61.0,original
Bi3.16Ca0.68Cu0.76O1.68Pr0.21Sr3.22,61.0,original
Bi3.16Ca1.05Cu0.76O1.67Sr3.22,61.0,original
Bi2.66Ca0.74Cu0.73O1.59Pb0.86Sr3.22Y0.25,61.0,original
Ba1.72Cu1.39O1.3Pr0.21Y1.32,61.0,original
Ba1.72Cu1.39O1.3Pr0.21Y1.32,61.0,original
Ba1.72Cu1.39O1.22Y2.04,61.0,original
Ba0.64Ca0.92Ce0.41Cu1.39La1.11O1.32,61.0,original
Bi3.16Ca0.92Cu0.76O1.59Sr3.22,61.0,original
Ba1.72Cu1.97O1.59Y2.04,61.0,original
Ba0.64Cu1.39O1.28Pr0.28Sr1.46Y1.09,61.0,original
Ba1.72Cu1.39O1.22Y2.04,61.0,original
Ba1.72Cu1.39Nd4.84O1.1,61.0,original
Bi3.5Ca1.05Cu0.76O1.59Sr2.73,61.0,original
Ba1.72Cu1.2Ni0.56O1.3Y2.04,61.0,original
Ca0.68Cu0.97O1.25Sr3.22Y0.37,61.0,original
Ba1.51Cu2.02O1.56Y2.04,61.0,original
Ba1.72Cu1.36O1.31Y2.04,60.0,original
Ba3.23Cu3.28La0.54O3.27Y4.44,60.0,original
Ba1.72Cu1.39O1.21Y2.04,60.0,original
Ba1.72Cu1.39O1.23Y2.04,60.0,original
Ba3.88Cu3.91O3.46Y4.44,60.0,original
Ba1.72Cu1.34O1.27Y2.04,60.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,60.0,original
Ba1.4Cu1.39La0.11O1.34Y2.04,60.0,original
Ca0.43Cu1.08Nd2.34O1.31Pb1.51Sr3.22,60.0,original
Ca0.43Cu1.08Eu3.35O1.31Pb1.51Sr3.22,60.0,original
Ca0.43Cu1.08Gd4.42O1.31Pb1.51Sr3.22,60.0,original
Ba3.88Cu3.91O3.41Y4.44,60.0,original
Ca0.58Cu0.98O1.25Sr3.27Y0.49,60.0,original
Cu0.13F10.35Sr2.52,60.0,original
Ca0.8Cu0.76O1.27Sr3.22Tl5.32,60.0,original
Ba1.18Cu1.39La0.4O1.35Y1.8,60.0,original
Ca1.05Cu0.76La2.26O1.03,60.0,original
Ba1.72Cu0.13Hg7.24O0.51,60.0,original
Ba1.72Cu1.39O1.21Y2.04,60.0,original
Ba0.64Ca1.05Cu1.37La1.11O1.31,60.0,original
Ba3.88Cu3.91O3.45Pr0.44Tm10.83,60.0,original
Ba1.29Cu1.39O1.24Sr0.4Yb9.91,60.0,original
C1.12Cu0.76O5.22Pb1.51Sr6.74Tl2.14,60.0,original
Ba1.72Cu2.02O1.59Pr0.13Y1.56,60.0,original
Bi2.49Ca2.29Cu1.39O2.17Pb1.18Sr3.22,60.0,original
Ba1.72Cu1.39O1.24Y2.04,60.0,original
Ba0.43Ca1.3Cu1.39La1.11O1.34,60.0,original
Ba1.61Ca0.55Cu2.65La2.4O2.65Yb2.91,60.0,original
Ba1.72Cu2.02O1.59Pr0.28Y1.09,60.0,original
Ca0.3Cu0.76Gd5.33O1.31Sr3.22Tl4.41,60.0,original
Ba1.02Ca0.3Cu1.39La1.47O1.33,60.0,original
Ba1.72Cu0.95Fe0.64O1.45Y2.04,60.0,original
Ba1.18Ca0.18Cu1.39La1.4O1.29,60.0,original
Ba1.72Cu1.39O1.2Pr0.75,60.0,original
Ba1.72Cu1.39O1.2Y2.04,60.0,original
Ba1.72Cu0.13Hg7.24O0.5,60.0,original
Ba1.72Cu1.36O1.26Y2.04,60.0,original
Ba1.72Cu1.34O1.22Y2.04Zn0.15,60.0,original
Ba1.72Cu0.13Hg7.24O0.5,60.0,original
Ba0.64Cu1.08Fe0.38O1.41Sr1.46Y2.04,60.0,original
Ba1.72Cu1.08Eu6.81Fe0.38O1.45,60.0,original
Ba1.72Cu1.08Fe0.38O1.43Tm7.72,60.0,original
Ca0.43Cu0.76Hg2.83O1.28Pr0.83Sr3.22,60.0,original
H7.24S0.95,60.0,original
Fe1.02Se0.54,60.0,original
Fe1.02Se0.53,7.0,original
Pb2.9Tl0.21,7.0,original
Pb3.13Tl0.21,7.0,original
F0.41Fe1.02Nd4.84P1.4,7.0,original
Mg3.17Ni7.28,7.0,original
Sb2.38Te7.36,7.0,original
Ca3.54Ir6.85Sn11.37,7.0,original
Dy5.18Ir6.85Sc22.5Si3.27,7.0,original
Nb1.01,7.0,original
Nb1.1Se1.15,7.0,original
La1.11Mo7.34S8.78,7.0,original
In0.24Pb2.48,7.0,original
Nb0.97,7.0,original
Au15.42Pb3.13,7.0,original
Ti2.46V0.26,7.0,original
B0.73Li14.58Pd6.02,7.0,original
Au7.67Ba0.64Ge9.94Pt7.15,7.0,original
Sc1.94V0.42,7.0,original
B1.62Er2.61Lu2.1Ru2.65,7.0,original
Mg3.17Ni7.27,7.0,original
Mg3.17Ni7.28,7.0,original
F0.15Fe1.02La1.11P1.78,7.0,original
Bi1.47Cl8.18Te2.37,7.0,original
Cd1.13Pd1.73,7.0,original
Gd0.12In1.68La3.94,7.0,original
Mg3.17Ni7.27,7.0,original
B0.73Li14.58Ni1.3Pd4.8,7.0,original
Lu1.59P1.78Se0.54Zr1.77,7.0,original
Dy10.45Ge8.27Os12.44Y9.22,7.0,original
Hg7.24In0.78Pb6.37Sm3.34,7.0,original
C0.17Mg3.17Ni7.28,7.0,original
Mg3.17Ni7.28,7.0,original
Bi0.21Pb2.32,7.0,original
Ge0.73V2.32,7.0,original
Hf1.9Ta4.17,7.0,original
In0.78Sn0.34,7.0,original
Mo0.33Ru1.55,7.0,original
Ga0.86Sb0.17V2.32,7.0,original
Ga0.85V2.32,7.0,original
Ti1.92V0.34,7.0,original
Ti2.06V0.33,7.0,original
Nb2.37Se1.15,7.0,original
Mg3.17Ni7.28,7.0,original
Hf1.9Ta4.17,7.0,original
B1.62C0.94La6.85,7.0,original
B0.73Mo2.3,7.0,original
Nb1.1Se1.15,7.0,original
C0.15Mg3.83Ni7.28,7.0,original
Ca3.54Ir6.85Sn11.37,7.0,original
K2.05Mo1.1S2.07,7.0,original
Mo1.1Rb1.65S2.07,7.0,original
Cs3.1Mo1.1S2.07,7.0,original
K2.05Mo1.1S2.07,7.0,original
K2.05Mo1.1S2.07,7.0,original
Mo1.1Rb1.65S2.07,7.0,original
Cs3.1Mo1.1S2.07,7.0,original
La1.11Ru8.24Si0.58,7.0,original
Mg3.17Ni7.28,7.0,original
Pb2.77Tl0.37,7.0,original
Pb3.13Tl0.41,7.0,original
Fe0.13Mg3.17Ni6.54,7.0,original
B3.4Er6.87Gd0.8Rh7.17,7.0,original
B0.73Li14.58Pd6.02,7.0,original
B3.4Er6.95Gd0.71Rh7.17,7.0,original
Ti0.32V0.65,7.0,original
As0.65Co0.32Fe0.89Pr0.59,7.0,original
As1.47Fe2.3K4.77,7.0,original
Bi3.16Se1.77,7.0,original
Bi1.47Ce5.81F4.59S2.07,7.0,original
Hf3.9Ta3.1,7.0,original
As1.47Ba0.64Co0.21Fe2.2,7.0,original
Mg3.17Ni7.28,7.0,original
Nb0.63Ta1.87,7.0,original
Sc2.95V0.26,7.0,original
As1.47Ba0.64Fe1.76Ru1.02,7.0,original
B0.73Mo2.1W,7.0,original
Si0.25,7.0,original
C0.41Er0.68Th6.85,7.0,original
Cs3.1Mo1.1S2.07,7.0,original
Sn0.69,7.0,original
Pb2.81,7.0,original
Ir0.23Zr2.74,7.0,original
Nb0.64Ta1.81,7.0,original
Re1.31,7.0,original
Re0.94Zr1.12,7.0,original
Re2.92Zr3.7,7.0,original
Ge0.27Nb3.63Sn0.39,7.0,original
Nb3.63Sb0.78Sn0.16,7.0,original
Ir1.62Mo3.59,7.0,original
Re1.31,7.0,original
Ti3.25,7.0,original
B1.62Co0.77Ni4.29Y2.04,7.0,original
La1.11Mo7.34S8.78,7.0,original
Mg3.17Ni7.21,7.0,original
LaRu8.24Si0.58Tm0.56,7.0,original
B5.18Y2.04,7.0,original
B5.18Y1.8,7.0,original
Nb0.72Ta1.49,7.0,original
Mg3.17Ni7.28,7.0,original
C0.41Er0.68Th6.85,7.0,original
C0.41Sc1.94Th5.76,7.0,original
La1.11Mo7.34S8.78,7.0,original
Ce0.11La1.04P22.25Ru11.04,7.0,original
Ba3.88C10.41,7.0,original
Fe0.89Se0.45,7.0,original
Fe0.7Ga0.24Se0.45,7.0,original
Ca3.54Ir6.85Sn11.37,7.0,original
Fe1.02Nb4.9Si0.25,7.0,original
Ca1.05Ge2.41,7.0,original
Fe1.02Te2.07,7.0,original
Al5.18Ba8.19Si13.68,7.0,original
Re8.86Zr3.7,7.0,original
Ca3.54Ir6.85Sn11.37,7.0,original
Ag3.7Se1.03Sn0.87,7.0,original
Ti2.4V0.25,7.0,original
Bi1.22,7.0,original
Re1.06Ta1.22,7.0,original
Re4.4Ta5.24,7.0,original
Lu3.29Si0.92,7.0,original
Lu1.59P2.24Se0.39Zr5.63,7.0,original
Ge9.94La0.25Pt9.58Th2.1,7.0,original
Mg3.17Ni7.28,7.0,original
V0.55,7.0,original
Sc1.44V0.5,7.0,original
B3.4Er7.65Ir3.36Rh3.52,7.0,original
Hg0.99Pb2.64,7.0,original
Nb1.13Se1.15,7.0,original
Re0.47W3.39,7.0,original
Ir5.11Lu6.67Si1.57,7.0,original
Nb0.15Re1.06,7.0,original
Re8.86Zr3.7,7.0,original
Re8.86Zr3.7,7.0,original
Mo0.91Re0.17,7.0,original
Pb2.64Tl0.55,7.0,original
Pb3.13Tl0.64,7.0,original
B1.62Ho10.97Ni4.78,7.0,original
Nb0.97,7.0,original
Mg3.17Ni7.26,7.0,original
Ag3.11Se1.15Sn0.99,7.0,original
Fe1.02La1.11P1.78,7.0,original
Re8.86Zr3.7,7.0,original
As0.48Fe1.02La0.97P0.47,7.0,original
Mg3.17Ni7.26,7.0,original
Ti2.02V0.34,7.0,original
Si0.25,7.0,original
Ba3.88C10.41,7.0,original
Si0.25,7.0,original
Be2.91Ga1.1,7.0,original
Ge0.73V2.32,7.0,original
Ir0.34Mo0.77,7.0,original
Ir0.34Mo0.77,7.0,original
Ti2.02W2.59,7.0,original
Ti2.02W2.59,7.0,original
Ti3.66,7.0,original
B1.62Pt4.72Th3.56,7.0,original
B1.62Co0.77Ni4.29Y2.04,7.0,original
B1.62Co0.77Ni4.29Y2.04,7.0,original
B1.62Pt4.72Th3.56,7.0,original
Br22.17Mo7.34Se3.61,7.0,original
Mg3.17Ni7.21,7.0,original
Mo7.34Pb0.53Se4.83Yb7.91,7.0,original
Mg3.17Ni7.28,7.0,original
Ag4.11B1.62,7.0,original
C0.41Sc0.94Th6.49,7.0,original
Br22.17Mo7.34Se3.61,7.0,original
Cs1.94O0.2W5.25,7.0,original
B0.73Mo2.22,7.0,original
Nb1.1Se1.15,7.0,original
Al0.98Ge0.73Sr1.46,7.0,original
Cs1.94O0.2W5.25,7.0,original
Nb1.1Se1.15,7.0,original
Fe1.02Te2.25,7.0,original
Au0.89Sb0.84Te0.19,7.0,original
Au1.24Sb0.93,7.0,original
As1.47Ba0.64Co0.23Fe2.2,7.0,original
B0.73La1.11N5.82Pt2.29,7.0,original
La1.11Si3.27,7.0,original
F0.15Fe1.02La1.11P1.78,7.0,original
Re8.86Zr3.7,7.0,original
Ge4.08Pr1.53Pt7.15,7.0,original
H3.58Pt2.29,7.0,original
B0.73Hf2.9Ta3.63,7.0,original
Mo7.34Se4.53Te1.13,7.0,original
Ir1.28Nb6.17Pt5.21,7.0,original
Hf3.1Ta3.53,7.0,original
Mo7.34Se4.65Te0.63,7.0,original
Nb1.04,7.0,original
P1.78Se0.54Y0.85Zr1.77,7.0,original
In1.68Pb3.13,7.0,original
Fe1.01Se0.43,7.0,original
B1.62Gd1.88Ni4.79Y1.52,7.0,original
Ir6.85Lu13.45Sc4.95Si3.27,7.0,original
B1.62Ni4.54Tm7.72,7.0,original
Al1.08Ca1.05Si0.22,7.0,original
Ge9.94Pr0.73Pt9.58,7.0,original
La1.11Sn2.54,7.0,original
Cu0.13La1.86Nd1.84O0.48,7.0,original
Cu0.13La1.83Nd1.84O0.48,7.0,original
Sn0.65,7.0,original
B1.62Ho10.42Ni4.79,7.0,original
Hf2.4Zr2.74,7.0,original
B10.52Li18.25,7.0,original
Co0.14La1.11Ru8.08Si0.58,7.0,original
Mg0.21Pb2.81,7.0,original
B1.62Dy2.02Ho8.76Ni4.79,7.0,original
Hf5.09Ta2.46,7.0,original
Fe1.02La1.11P1.78,7.0,original
Cu0.12La2.33O0.48,7.0,original
Ba1.72Cu1.39O1.24Pr0.21Sm4.73,7.0,original
Ge1.57Ir6.85Lu16.84Si2.6,7.0,original
B4.29Nb2.24Sc0.44,7.0,original
H3.36Pd1.94,7.0,original
Hf3.2Nb0.25V0.2,7.0,original
Mo0.78Rh0.33,7.0,original
N5.82Nb0.97,7.0,original
Pb3.13Sb1.15,7.0,original
Re35.59Ti21.52,7.0,original
Ti1.29V0.2Zr1.12,7.0,original
Re35.59Ti21.52,7.0,original
Au3.79Nb3.63Rh0.79,7.0,original
Hf2.4Mo0.78,7.0,original
Hf9.88N5.75,7.0,original
Re35.59Ti25.85,7.0,original
B1.62Dy2.02Ho19.81Ni4.79,7.0,original
Mo3.59Se2.38,7.0,original
B1.62Co0.14Er7.65Ni4.72,7.0,original
Mg3.17Ni7.28,7.0,original
Ge0.12V0.52,7.0,original
Au3.79Nb3.63Rh0.79,7.0,original
Ir0.61Ta2.99,7.0,original
B0.55Nb6.17Si0.65,7.0,original
As0.65Co0.43Fe0.86La1.11,7.0,original
Fe1.02La1.11P1.78,7.0,original
Mg3.17Ni7.28,7.0,original
,7.0,original
C0.14Mg3.83Ni7.28,7.0,original
Ca1.05P1.78Pt7.15,7.0,original
Nb2.37Pd1.55S5.42,7.0,original
Au1.47Sb0.65Te0.38,7.0,original
Fe1.02Te1.88,7.0,original
B5.18Y2.04,7.0,original
Mo0.41Re0.76,7.0,original
B0.73Li14.58Pd5.41Pt0.59,7.0,original
Ti2.4V0.25,7.0,original
B0.73Li14.58Ni0.93Pd5.1,7.0,original
B1.62Nb0.34,7.0,original
Ce5.27Ru5.45,7.0,original
Ce5.27Ru5.45,7.0,original
Os3.03P1.78Zr3.7,7.0,original
Os3.03P1.78Zr3.7,7.0,original
La1.11P22.25Ru11.04,7.0,original
P1.78Pd1.12Pt5.69Sr1.46,7.0,original
Nb0.59Ta2.03,7.0,original
Ce5.45Ru5.45,7.0,original
Ce5.21Ru5.45,7.0,original
Fe3.58Re2.92,7.0,original
La1.11Sn2.54,7.0,original
Ce5.45Ru5.45,7.0,original
Ce5.21Ru5.45,7.0,original
Bi1.47,7.0,original
Bi6.54O0.48S3.19,7.0,original
Ir6.85Lu13.45Sc4.95Si3.27,7.0,original
Al0.87Ca1.05Si0.25,7.0,original
Nb0.57Ta2.13,7.0,original
Eu1.27Ge9.94Pr0.59Pt9.58,7.0,original
C0.24Ni2.3Th0.64Y1.56,7.0,original
Re40.05Zr19.11,7.0,original
Mg3.17Ni7.23,7.0,original
Cl8.18Mo7.34Se4.22,7.0,original
C0.94Yb9.91,7.0,original
Co4.18Zr7.55,7.0,original
B1.62Dy10.45Ni4.79,7.0,original
La3.87Pr0.11Tl4.41,7.0,original
Cu0.13La2.46O0.47,7.0,original
Cu0.12La2.33O0.48,7.0,original
Ce0.71Cu0.13Nd9.09O0.48,7.0,original
Bi1.64K4.77O0.2,7.0,original
Mg3.17Ni7.28,7.0,original
C0.94Yb9.91,7.0,original
Sb1.15Ti12.85,7.0,original
C0.94Yb9.91,7.0,original
Al0.24Be0.63,7.0,original
B5.18Y2.04,7.0,original
Bi1.24Tl0.5,7.0,original
Pb2.81,7.0,original
Ir3.36Th3.56,7.0,original
La1.11Os6.17,7.0,original
La1.11Sn2.54,7.0,original
Mo0.47Re0.69,7.0,original
Mo0.2Re1.02,7.0,original
Au7.67Nb3.51V0.18,7.0,original
Nb3.63Si0.11Sn0.25,7.0,original
Ag3.28Ga0.18,7.0,original
Mo1.1,7.0,original
Ir3.36Th3.56,7.0,original
La3.98S4.3,7.0,original
Ta4.31,7.0,original
La3.98S4.3,7.0,original
B1.62La1.11Pt5.21,7.0,original
B1.62Ni4.79Th3.56,7.0,original
B1.62Ni4.79Th3.56,7.0,original
As0.65Nb3.63,7.0,original
Nb1.1,7.0,original
Mo7.34Se3.61Tl8.96,7.0,original
La1.11Ru8.24Si0.58,7.0,original
La1.11Ru8.24Si0.58,7.0,original
Ge0.11V0.54,7.0,original
Mo0.47Re0.69,7.0,original
Mg3.17Ni7.23,7.0,original
C0.41Sc4.95Th3.56,7.0,original
B1.62Pt4.72Th3.56,7.0,original
Zr3.12,7.0,original
As2.3La5.41,7.0,original
Ir1.62Si0.25Th3.56,7.0,original
Al0.98Ca1.05Si0.25,7.0,original
C0.41La2.55,7.0,original
B0.73Li14.58Ni1.3Pd4.8,7.0,original
Mg3.17Ni7.28,7.0,original
Sn0.69,7.0,original
As0.65Fe0.97La1.11,7.0,original
Fe1.18Te2.3,7.0,original
FeTe1.75,7.0,original
Mo7.34Se3.61Tl8.96,7.0,original
Al0.98Ca1.05Si0.25,7.0,original
B1.62Si0.25Ta0.96W25.43,7.0,original
Ir1.62Si0.25Th3.56,7.0,original
Te4.87W5.25,7.0,original
Cl12.31Mo7.34Se3.91,7.0,original
Mo0.35Re0.84,7.0,original
N5.7Ti3.76,7.0,original
As1.47Ba0.64Co0.21Fe2.2,7.0,original
Ag3.32Se1.15Sn0.94,7.0,original
Mo0.41Re0.76,7.0,original
C0.94Yb9.91,7.0,original
B1.62Ho2.13Lu2.61Ru2.65,7.0,original
Ca1.67Rh7.17Sn11.37Sr2.34,7.0,original
H3.45Pd1.94,7.0,original
Ce5.63Ru5.45,7.0,original
Al0.87,7.0,original
Ce5.63Ru5.45,7.0,original
Co0.55La1.11Ru7.82Si0.58,7.0,original
Ir1.47Se1.15,7.0,original
Rh1.63Si0.26Th3.56,7.0,original
Eu0.93Ge9.94Pr0.63Pt9.58,7.0,original
Mg3.17Ni7.27,7.0,original
Mg3.17Ni7.28,7.0,original
B3.4Er1.84Ho8.21Rh7.17,7.0,original
La1.11Ru8.08Si0.58,7.0,original
Pb2.25Tl1.1,7.0,original
Pb2.45Tl0.82,7.0,original
Pb3.13Tl1.1,7.0,original
In0.78Pb1.51,7.0,original
La1.11Sn2.54,7.0,original
B3.4Er1.35Ho8.91Rh7.17,7.0,original
Zr3.2,7.0,original
B3.4Ho10.97Rh6.66Ru0.63,7.0,original
B3.4Ho10.97Rh6.44Ru0.97,7.0,original
Ca1.67Rh7.17Sn11.37Sr2.34,7.0,original
Ir0.58Nb6.17Pt6.18,7.0,original
Bi1.35,7.0,original
V1.41Zr3.7,7.0,original
Tc8.62V0.18,7.0,original
B3.4Ho10.97Ir3.36Rh3.52,7.0,original
Bi0.56Mo7.34S8.22Tl1.91,7.0,original
Bi0.56Mo7.34S8.22Tl1.91,7.0,original
Ca2.91Co2.14Rh7.17Sn11.37,7.0,original
Ca1.67Rh7.17Sn11.37Sr2.34,7.0,original
Lu1.25P1.78S0.95Zr2.16,7.0,original
Cu0.11La2.33O0.48,7.0,original
Bi1.46K2.76O0.2,7.0,original
O1.03Os6.17Rb5.68,7.0,original
O1.03Os6.17Rb5.68,7.0,original
Mg3.17Ni7.28,7.0,original
B2.06Nb1.1,7.0,original
Bi8.23Tl13.51,7.0,original
In0.78Nb3.63Zr1.77,7.0,original
Sn0.78Ta15.96,7.0,original
Sn0.6V2.32,7.0,original
Ga1.1Hf2.51V2.11,7.0,original
In0.78Nb3.63Zr1.77,7.0,original
Ca1.05Rh3.52,7.0,original
In0.78Nb3.63Zr1.77,7.0,original
Ge0.73Nb3.63,7.0,original
Br15.5C0.24I6.13Y4.44,7.0,original
B1.62Dy10.45Ni4.79,7.0,original
Nb1.1Rh5.35,7.0,original
V0.55,7.0,original
V0.57,7.0,original
Al0.17V0.53,7.0,original
La1.11Sn2.54,7.0,original
In0.78Nb3.63Zr1.77,7.0,original
Zr3.41,7.0,original
Re2.92Zr3.7,7.0,original
Mo7.34Se4.83,7.0,original
B0.19Nb6.17Si0.79,7.0,original
B0.73Nb6.17Si0.58,7.0,original
O1.03Os6.17Rb5.68,7.0,original
Cu0.13La2.18O0.48Sr0.15,7.0,original
B1.62Gd0.8Lu2.95Ru2.65,7.0,original
B0.73Li14.58Pd5.71Pt0.22,7.0,original
P1.5Ru2.65Zr3.7,7.0,original
B1.62Zr3.66,7.0,original
Al2.8Ca2.29Si1.35,7.0,original
As1.47Ba0.64Fe2.05Ni0.31,7.0,original
As1.47Ba0.45Fe2.3Na0.67,7.0,original
Se1.15Sn0.78Tb6.91,7.0,original
Se1.15Sn0.78Tb10.39,7.0,original
Se1.15Sn0.78Tb13.87,7.0,original
Pb3.13S0.95Yb9.91,7.0,original
Cl16.44Mo7.34Se3.61,7.0,original
Ge0.73Ir6.85Lu16.84Si2.93,7.0,original
Nb0.97,7.0,original
Mo7.34Se4.83,7.0,original
Mo7.34Se4.83Y2.04,7.0,original
Mo7.34Se4.83Y2.04,7.0,original
B1.62Dy10.45Ni4.79,7.0,original
As0.48Fe1.02La0.97P0.85,7.0,original
H3.45Pd1.94,7.0,original
As1.47Fe2.3K4.88,7.0,original
P2.24Se0.39Zr6.97,7.0,original
In0.96Pb1.18,7.0,original
B1.97La0.4Nd2.34Pt4.96,7.0,original
Ag3.32Se1.15Sn0.94,7.0,original
Ca2.6Ir6.85Sn11.37Sr1.02,7.0,original
Mo0.37Re0.81,7.0,original
B3.4Ho10.97Rh5.35Ru2.65,7.0,original
B1.62Dy9.92Ni4.79,7.0,original
Mo0.37Re0.81,7.0,original
Nb1.1Se1.28,7.0,original
Nb1.1Se1.28,7.0,original
B3.4Ho10.97Ir3.36Rh3.52,7.0,original
Pb2.81,7.0,original
Cl4.05Mo7.34Se4.53,7.0,original
O1.03Os6.17Rb5.68,7.0,original
Ir5.11Lu6.67Si1.58,7.0,original
Ba1.72Cu1.39O1.24Pr0.24Y1.21,7.0,original
O1.03Os6.17Rb5.68,7.0,original
O1.03Os6.17Rb5.68,7.0,original
O1.03Os6.17Rb5.68,7.0,original
O1.03Os6.17Rb5.68,7.0,original
Ce5.81Ru5.45,7.0,original
C0.24La0.11Ni2.3Th2.47,7.0,original
Te2.37,7.0,original
O1.03Os3.03Rb5.68,7.0,original
Be1.92Ga1.1,7.0,original
Mo3.59Se2.38,7.0,original
Ti3.76,7.0,original
Ti3.76,7.0,original
Cs3.1Mo1.1S2.07,7.0,original
Co4.41Zr7.55,7.0,original
Co4.41Zr7.55,7.0,original
Ga1.1V1.61,7.0,original
Ga1.1V1.61,7.0,original
Mo7.34Se4.83,7.0,original
Ce5.81Ru5.45,7.0,original
Mo7.34Se4.83,7.0,original
Mg3.17Ni7.13,7.0,original
B1.62Re1.43,7.0,original
Mg3.17Ni7.28,7.0,original
B3.4Ho10.97Ru1.53Th12.33,7.0,original
Mo7.34Pb0.21Se4.83Yb8.91,7.0,original
Mo7.34Se4.74,7.0,original
Mo7.34Se4.77Te0.13,7.0,original
Mo7.34Se4.83,7.0,original
Ti3.8,7.0,original
V0.52Zr0.72,7.0,original
Mo7.34Se4.83,7.0,original
Mo7.34Se4.83,7.0,original
Mo7.34Se4.83,7.0,original
O1.03Os6.17Rb5.68,7.0,original
Al0.98Ba0.64Ge0.73,7.0,original
P2.24Se0.39Zr3.7,7.0,original
B1.62Dy10.45Ni4.79,7.0,original
Mo0.28Re0.91,7.0,original
B1.62Er3Lu1.93Ru2.65,7.0,original
O1.03Os6.17Rb5.68,7.0,original
Th0.83Zr2.74,7.0,original
Ge0.73Nb3.63,7.0,original
Ge0.73Nb3.63,7.0,original
Mo7.34Se4.59,7.0,original
Mo7.34Se4.59,7.0,original
Ce5.81Ru5.45,7.0,original
Ge0.73Nb3.63,7.0,original
Pb2.81,7.0,original
Mo7.34Se4.83,7.0,original
Ge0.73Nb3.63,7.0,original
Hf4.89Ta2.56,7.0,original
O1.03Os6.17Rb5.68,7.0,original
P2.52Se0.29Zr3.7,7.0,original
Lu0.41P2.24Se0.39Zr6.97,7.0,original
Nb1.1S2.07,7.0,original
Re4.4V0.73,7.0,original
B1.62Dy10.45Ni4.79,7.0,original
La0.93Sn2.54Th0.39,7.0,original
Hf1.9Ta4.17,7.0,original
As0.48Fe2.3P2.15Sr1.46,7.0,original
