elements,formula,Predicted_Tc
In-Sn,In0.502Sn0.498,6.997486111
In-Sn,In0.508Sn0.492,6.969008333
In-Sn-Zn,In0.490Sn0.502Zn0.008,6.96044
Bi-Sn,Bi0.808Sn0.192,6.926459444
In-Sn,In0.481Sn0.519,6.881592222
In-Sn,In0.535Sn0.465,6.855025
In-Sn-Zn,In0.473Sn0.502Zn0.025,6.8379475
In-Sn-Ag,In0.479Sn0.513Ag0.008,6.834850556
Bi-Sn,Bi0.784Sn0.216,6.806637778
In-Sn,In0.565Sn0.435,6.780883333
In-Sn,In0.564Sn0.436,6.780883333
In-Sn,In0.571Sn0.429,6.766765
In-Sn,In0.587Sn0.413,6.763873333
In-Sn,In0.589Sn0.411,6.762953889
In-Sn,In0.599Sn0.401,6.760795556
Bi-Sn,Bi0.836Sn0.164,6.731698333
Ga-In-Sn,Ga0.162In0.448Sn0.390,6.69367797
In-Sn-Zn,In0.672Sn0.303Zn0.025,6.642765833
Bi-In-Sn,Bi0.757In0.057Sn0.186,6.638358333
In-Sn-Sb,In0.461Sn0.513Sb0.026,6.5877925
Bi-Sn,Bi0.767Sn0.233,6.585130556
Ga-In-Sn,Ga0.181In0.435Sn0.384,6.570887201
Ga-In-Sn,Ga0.131In0.632Sn0.237,6.548575833
In-Sn-Ag,In0.546Sn0.410Ag0.044,6.538062222
Bi-In-Sn,Bi0.058In0.574Sn0.368,6.531986389
Ga-In-Sn,Ga0.099In0.547Sn0.354,6.525810897
Ga-In-Sn,Ga0.206In0.558Sn0.236,6.509402137
Ga-In-Sn,Ga0.108In0.620Sn0.272,6.501584722
In-Sn-Zn,In0.487Sn0.380Zn0.133,6.490701
Bi-In-Sn,Bi0.078In0.493Sn0.429,6.483660833
Ga-In-Sn,Ga0.165In0.407Sn0.428,6.473175256
Bi-In-Sn,Bi0.085In0.580Sn0.335,6.452521389
Sn-Cu,Sn0.897Cu0.103,6.449988889
In-Sn-Sb,In0.617Sn0.320Sb0.063,6.44416
Ga-In-Sn,Ga0.343In0.431Sn0.226,6.383848761
Ga-In-Sn,Ga0.168In0.382Sn0.450,6.381471368
In-Sn-Ag,In0.611Sn0.333Ag0.056,6.347571111
Bi-Sn,Bi0.920Sn0.080,6.336913333
