elements,formula,Predicted_Tc
Bi-Sn-Cu,Bi0.821Sn0.121Cu0.058,6.2094725
Ga-Bi-Sn,Ga0.194Bi0.640Sn0.166,6.207018269
Bi,Bi1.000,6.205
Ga-Bi-Sn,Ga0.219Bi0.615Sn0.166,6.202367778
Bi-Sn-Cu,Bi0.786Sn0.172Cu0.042,6.200915278
Bi-Sn-Cu,Bi0.036Sn0.822Cu0.142,6.199242222
Bi-Zn,Bi0.997Zn0.003,6.197958333
Bi-Sn-Cu,Bi0.012Sn0.819Cu0.169,6.182997778
Ga-Bi,Ga0.228Bi0.772,6.18295485
Sn-Zn-Cu,Sn0.794Zn0.043Cu0.163,6.182365
Bi-Sn-Ag,Bi0.709Sn0.199Ag0.092,6.180050556
Ga-Bi-Sn,Ga0.072Bi0.888Sn0.040,6.179148376
Sn-Ag-Cu,Sn0.819Ag0.031Cu0.150,6.177064444
Ga-Bi,Ga0.227Bi0.773,6.172288184
Ga-Bi,Ga0.244Bi0.756,6.168788654
Bi-Sn-Cu,Bi0.026Sn0.818Cu0.156,6.166600556
Ga-Bi,Ga0.170Bi0.830,6.166233419
Ga-Bi,Ga0.215Bi0.785,6.160140962
Ga-Bi,Ga0.165Bi0.835,6.15927953
Bi-In,Bi0.987In0.013,6.158904444
Bi-In,Bi0.822In0.178,6.156419167
Ga-Bi,Ga0.236Bi0.764,6.154806859
Bi-In,Bi0.855In0.145,6.154390833
Bi-In,Bi0.842In0.158,6.154185278
Ga-Bi,Ga0.222Bi0.778,6.145452073
Ga-Bi,Ga0.172Bi0.828,6.144393419
Ga-Bi,Ga0.175Bi0.825,6.144026752
Bi-Zn,Bi0.987Zn0.013,6.142115
Bi-In,Bi0.863In0.137,6.139029722
Ga-Bi-In,Ga0.197Bi0.768In0.035,6.138191111
Bi-Sn-Zn,Bi0.751Sn0.152Zn0.097,6.134944444
Bi-In,Bi0.866In0.134,6.134104722
Bi-In,Bi0.968In0.032,6.133416944
Bi-In,Bi0.872In0.128,6.129646389
Bi-Ag,Bi0.986Ag0.014,6.122925
Bi-In,Bi0.886In0.114,6.118713056
Bi-Zn,Bi0.984Zn0.016,6.112485833
Bi-Zn-Cu,Bi0.992Zn0.001Cu0.007,6.105419444
Ga-Bi-In,Ga0.257Bi0.691In0.052,6.100554829
Bi-Zn,Bi0.977Zn0.023,6.097335833
Bi-In,Bi0.804In0.196,6.0953525
Ga-Bi-Zn,Ga0.177Bi0.809Zn0.014,6.059207094
Ga-Bi-In,Ga0.027Bi0.794In0.179,6.040046517
Bi-Zn,Bi0.972Zn0.028,6.039868611
Ga-Bi-Zn,Ga0.204Bi0.786Zn0.010,6.037606175
Bi-Sn-Ag,Bi0.871Sn0.063Ag0.066,6.030027222
Ga-Bi-In,Ga0.082Bi0.776In0.142,6.029889209
Ga-Bi-Zn,Ga0.093Bi0.890Zn0.017,6.024300107
Bi-Sb,Bi0.988Sb0.012,6.0158
Ga-Bi-In,Ga0.090Bi0.907In0.003,6.014704551
Bi-Cu,Bi0.984Cu0.016,6.012211111
Bi-Sn-Zn,Bi0.781Sn0.108Zn0.111,6.0081225
Bi-Sn-Cu,Bi0.163Sn0.720Cu0.117,6.002331667
Bi-Ag,Bi0.969Ag0.031,5.998670833
Ga-Bi-Cu,Ga0.165Bi0.824Cu0.011,5.988041474
Ga-Bi-Zn,Ga0.171Bi0.798Zn0.031,5.981506538
Bi-In-Cu,Bi0.927In0.068Cu0.005,5.976336944
Bi-Cu,Bi0.979Cu0.021,5.958655556
Bi-Sn-Cu,Bi0.712Sn0.267Cu0.021,5.953215
Bi-Ag,Bi0.964Ag0.036,5.9513875
Ga-Bi-In,Ga0.288Bi0.683In0.029,5.947805021
Bi-Zn,Bi0.954Zn0.046,5.945401389
Sn-Zn-Cu,Sn0.711Zn0.060Cu0.229,5.944810278
Bi-Ag,Bi0.962Ag0.038,5.939320833
Bi-Cu,Bi0.978Cu0.022,5.936088889
Ga-Sb,Ga0.800Sb0.200,5.934198056
Sn-Zn-Cu,Sn0.734Zn0.084Cu0.182,5.931234722
Sn-Ag-Cu,Sn0.768Ag0.043Cu0.189,5.920433056
Ga-Bi-In,Ga0.273Bi0.627In0.100,5.920363098
Ga-Bi-In,Ga0.150Bi0.653In0.197,5.918268355
Bi-Sb,Bi0.981Sb0.019,5.910270833
Ga-Bi-In,Ga0.181Bi0.623In0.196,5.904684808
Ga-Sn-Cu,Ga0.166Sn0.735Cu0.099,5.901002543
Ga-Bi-Zn,Ga0.286Bi0.647Zn0.067,5.900912457
Ga-Sn-Cu,Ga0.086Sn0.783Cu0.131,5.892826453
Bi-In-Zn,Bi0.799In0.136Zn0.065,5.888434444
Ga-Sn,Ga0.864Sn0.136,5.884301026
Ga-Sb,Ga0.805Sb0.195,5.883474466
Bi-In-Ag,Bi0.939In0.024Ag0.037,5.878136111
Bi-In-Zn,Bi0.797In0.137Zn0.066,5.875753889
Bi-In-Zn,Bi0.852In0.088Zn0.060,5.87235
Ga-Bi-In,Ga0.052Bi0.646In0.302,5.871540748
Ga-Sn,Ga0.869Sn0.131,5.869507821
Bi-Cu,Bi0.974Cu0.026,5.863352778
Bi-Ag,Bi0.953Ag0.047,5.851884722
Bi-Sn-Sb,Bi0.374Sn0.577Sb0.049,5.848118889
Bi-Ag,Bi0.950Ag0.050,5.848118056
Ga-Sn-Sb,Ga0.818Sn0.176Sb0.006,5.84554515
Ga-Sn-Cu,Ga0.094Sn0.760Cu0.146,5.843797564
Bi-Sn-Ag,Bi0.354Sn0.625Ag0.021,5.843105556
Bi-Cu,Bi0.972Cu0.028,5.842427778
Ga-Sn,Ga0.851Sn0.149,5.836435726
Ga-Sn,Ga0.812Sn0.188,5.835163483
Sn-Ag-Cu,Sn0.743Ag0.031Cu0.226,5.834503056
Bi-Sb,Bi0.976Sb0.024,5.8341625
Ga-Sn-Sb,Ga0.845Sn0.148Sb0.007,5.833048974
Ga-Sn-Zn,Ga0.833Sn0.146Zn0.021,5.82191109
Sn-Zn-Cu,Sn0.673Zn0.079Cu0.248,5.816556111
Ga-Sn,Ga0.859Sn0.141,5.814177564
Ga-Sn,Ga0.882Sn0.118,5.812056709
Sn-Zn-Cu,Sn0.655Zn0.043Cu0.302,5.807496667
Ga-Sn-Cu,Ga0.109Sn0.745Cu0.146,5.800480406
Ga-Sb,Ga0.838Sb0.162,5.800134487
Bi-Sn-Zn,Bi0.681Sn0.184Zn0.135,5.796787222
Ga-Sn-Cu,Ga0.134Sn0.703Cu0.163,5.795635748
Ga-Bi-Zn,Ga0.283Bi0.633Zn0.084,5.793318782
Bi-In-Cu,Bi0.684In0.316,5.791290556
Ga-Sn,Ga0.845Sn0.155,5.790996667
Ga-Sb,Ga0.843Sb0.157,5.785545769
Ga-Sn,Ga0.901Sn0.099,5.785267393
Ga-Bi-Sb,Ga0.338Bi0.661Sb0.001,5.785138697
Bi-Cu,Bi0.969Cu0.031,5.779822222
Ga-Zn,Ga0.816Zn0.184,5.778752795
Ga-Sb,Ga0.848Sb0.152,5.778118932
Ga-Bi-Zn,Ga0.324Bi0.649Zn0.027,5.777967799
Bi-Zn,Bi0.927Zn0.073,5.776249167
Ga-Sn-Zn,Ga0.850Sn0.140Zn0.010,5.773074188
Ga-Sb,Ga0.793Sb0.207,5.769861944
Bi-Sn-Zn,Bi0.326Sn0.637Zn0.037,5.769321667
Ga-Sb,Ga0.849Sb0.151,5.768388846
Bi-Sb,Bi0.970Sb0.030,5.7659875
Ga-Bi-Ag,Ga0.318Bi0.670Ag0.012,5.76530703
Bi-Sn-Zn,Bi0.349Sn0.594Zn0.057,5.764586111
Ga-Bi-Ag,Ga0.231Bi0.693Ag0.076,5.761909209
Ga-Sn-Cu,Ga0.009Sn0.914Cu0.077,5.759936111
Bi-Sn-Sb,Bi0.349Sn0.575Sb0.076,5.753878889
Ga-Sn-Cu,Ga0.279Sn0.636Cu0.085,5.749829872
Bi-Ag,Bi0.944Ag0.056,5.748620833
Bi-Sn-Ag,Bi0.775Sn0.090Ag0.135,5.747692778
Ga-Sb,Ga0.855Sb0.145,5.746762607
Ga-Zn,Ga0.834Zn0.166,5.740726064
Bi-Ag,Bi0.941Ag0.059,5.7405125
Sn-Sb-Cu,Sn0.730Sb0.142Cu0.128,5.738012222
Ga-In-Sb,Ga0.827In0.046Sb0.127,5.737498034
Bi-Zn-Ag,Bi0.928Zn0.025Ag0.047,5.735210278
Sn-Ag-Cu,Sn0.707Ag0.002Cu0.291,5.732464167
Ga-In-Zn,Ga0.870In0.056Zn0.074,5.728428782
Ga-Sb,Ga0.858Sb0.142,5.728226966
Ga-Zn,Ga0.924Zn0.076,5.728159188
Ga-Zn,Ga0.924Zn0.076,5.728159188
Bi-In-Zn,Bi0.724In0.220Zn0.056,5.727184722
Ga-Zn,Ga0.800Zn0.200,5.724873179
Ga-Zn,Ga0.879Zn0.121,5.723911278
Bi-Sn-Sb,Bi0.672Sn0.210Sb0.118,5.723091111
