elements,formula,Predicted_Tc
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn-Ag,In0.501Sn0.498Ag0.001,7.001169444
In-Sn,In0.502Sn0.498,6.997486111
In-Sn,In0.502Sn0.498,6.997486111
In-Sn,In0.502Sn0.498,6.997486111
In-Sn,In0.502Sn0.498,6.997486111
In-Sn-Zn,In0.507Sn0.493,6.986591667
Bi-Sn,Bi0.801Sn0.199,6.956915
In-Sn-Ag,In0.492Sn0.505Ag0.003,6.95054
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn,Bi0.800Sn0.200,6.949571667
In-Sn-Sb,In0.506Sn0.488Sb0.006,6.943819444
In-Sn-Zn,In0.505Sn0.482Zn0.013,6.942035
In-Sn-Zn,In0.509Sn0.482Zn0.009,6.940281667
In-Sn-Sb,In0.507Sn0.488Sb0.005,6.940136111
Bi-Sn,Bi0.804Sn0.196,6.938698333
Bi-Sn,Bi0.803Sn0.197,6.938698333
Bi-Sn,Bi0.806Sn0.194,6.935048333
Bi-Sn,Bi0.805Sn0.195,6.935048333
In-Sn-Sb,In0.484Sn0.500Sb0.016,6.9333
In-Sn-Zn,In0.489Sn0.485Zn0.026,6.93294
Bi-Sn,Bi0.809Sn0.191,6.916776111
Bi-In-Sn,Bi0.007In0.491Sn0.502,6.915033889
Bi-Sn,Bi0.799Sn0.201,6.909045
In-Sn-Ag,In0.519Sn0.476Ag0.005,6.900858333
Ga-Bi-Sn,Ga0.002Bi0.796Sn0.202,6.89987
Ga-In-Sn,Ga0.024In0.503Sn0.473,6.894652222
In-Sn-Cu,In0.482Sn0.508Cu0.010,6.885601667
In-Sn-Ag,In0.502Sn0.481Ag0.017,6.882527778
In-Sn-Zn,In0.507Sn0.467Zn0.026,6.879136111
Bi-In-Sn,Bi0.013In0.496Sn0.491,6.875800833
Ga-Bi-Sn,Ga0.016Bi0.796Sn0.188,6.874497778
In-Sn-Zn,In0.528Sn0.465Zn0.007,6.862541667
In-Sn-Zn,In0.476Sn0.488Zn0.036,6.861173889
Bi-In-Sn,Bi0.004In0.526Sn0.470,6.857933333
In-Sn-Cu,In0.512Sn0.476Cu0.012,6.857252778
In-Sn-Ag,In0.503Sn0.477Ag0.020,6.8527
Ga-In-Sn,Ga0.009In0.526Sn0.465,6.849589167
Ga-In-Sn,Ga0.028In0.507Sn0.465,6.844660556
Bi-Sn-Ag,Bi0.801Sn0.184Ag0.015,6.844600556
In-Sn-Cu,In0.454Sn0.484Cu0.062,6.843858889
Ga-In-Sn,Ga0.022In0.516Sn0.462,6.828521667
In-Sn-Cu,In0.527Sn0.465Cu0.008,6.82025
In-Sn-Zn,In0.504Sn0.458Zn0.038,6.812078889
Ga-In-Sn,Ga0.024In0.590Sn0.386,6.8119525
In-Sn-Zn,In0.523Sn0.455Zn0.022,6.809701111
Bi-Sn-Zn,Bi0.821Sn0.175Zn0.004,6.804117778
In-Sn-Zn,In0.468Sn0.504Zn0.028,6.802814167
In-Sn-Cu,In0.481Sn0.458Cu0.061,6.799136111
In-Sn-Cu,In0.497Sn0.444Cu0.059,6.797194444
Ga-Bi-Sn,Ga0.027Bi0.795Sn0.178,6.796613675
Bi-Sn-Zn,Bi0.786Sn0.186Zn0.028,6.795574444
Bi-In-Sn,Bi0.032In0.482Sn0.486,6.792831111
In-Sn-Cu,In0.485Sn0.484Cu0.031,6.790098333
In-Sn-Sb,In0.502Sn0.471Sb0.027,6.782434444
Ga-In-Sn,Ga0.029In0.581Sn0.390,6.781658056
Ga-In-Sn,Ga0.128In0.468Sn0.404,6.78069312
In-Sn-Ag,In0.519Sn0.461Ag0.020,6.776561111
In-Sn-Ag,In0.549Sn0.447Ag0.004,6.775015556
Ga-In-Sn,Ga0.033In0.563Sn0.404,6.770197778
In-Sn-Cu,In0.475Sn0.460Cu0.065,6.769161111
Bi-Sn-Cu,Bi0.785Sn0.207Cu0.008,6.768803333
In-Sn-Cu,In0.553Sn0.442Cu0.005,6.768602778
Ga-In-Sn,Ga0.049In0.483Sn0.468,6.766259231
Bi-In-Sn,Bi0.003In0.558Sn0.439,6.764291667
Ga-In-Sn,Ga0.025In0.536Sn0.439,6.756966111
In-Sn-Ag,In0.546Sn0.445Ag0.009,6.745746111
Bi-Sn-Cu,Bi0.782Sn0.207Cu0.011,6.744932222
Ga-Bi-Sn,Ga0.056Bi0.764Sn0.180,6.744852692
Bi-In-Sn,Bi0.005In0.575Sn0.420,6.744676111
In-Sn-Ag,In0.579Sn0.414Ag0.007,6.742742778
In-Sn-Sb,In0.601Sn0.398Sb0.001,6.740312222
In-Sn-Cu,In0.507Sn0.427Cu0.066,6.739716667
In-Sn-Sb,In0.594Sn0.404Sb0.002,6.735003889
In-Sn-Sb,In0.546Sn0.444Sb0.010,6.7322
In-Sn-Ag,In0.477Sn0.489Ag0.034,6.722338889
In-Sn-Sb,In0.487Sn0.467Sb0.046,6.716410556
Bi-In-Sn,Bi0.009In0.544Sn0.447,6.7155275
Ga-Bi-Sn,Ga0.056Bi0.767Sn0.177,6.71253047
Bi-Sn-Zn,Bi0.767Sn0.209Zn0.024,6.701682222
In-Sn-Sb,In0.515Sn0.457Sb0.028,6.699817778
Bi-In-Sn,Bi0.016In0.551Sn0.433,6.698349722
In-Sn-Sb,In0.504Sn0.458Sb0.038,6.696723333
Bi-Sn-Zn,Bi0.841Sn0.154Zn0.005,6.694137222
Ga-Bi-Sn,Ga0.056Bi0.797Sn0.147,6.681164359
Bi-In-Sn,Bi0.027In0.528Sn0.445,6.665582222
Bi-In-Sn,Bi0.022In0.554Sn0.424,6.664778611
Bi-Sn-Zn,Bi0.772Sn0.182Zn0.046,6.643939444
Ga-Bi-Sn,Ga0.069Bi0.752Sn0.179,6.640994637
Bi-Sn-Zn,Bi0.783Sn0.168Zn0.049,6.64035
Bi-Sn-Zn,Bi0.809Sn0.155Zn0.036,6.633407222
Ga-Bi-Sn,Ga0.069Bi0.785Sn0.146,6.595341303
Bi-Sn-Cu,Bi0.792Sn0.185Cu0.023,6.595151111
Ga-Bi-Sn,Ga0.092Bi0.715Sn0.193,6.566947692
Ga-Bi-Sn,Ga0.090Bi0.757Sn0.153,6.56450109
Bi-Sn-Ag,Bi0.816Sn0.145Ag0.039,6.555065
Bi-Sn-Zn,Bi0.752Sn0.181Zn0.067,6.485282778
Bi-Sn-Cu,Bi0.854Sn0.136Cu0.010,6.468245556
Sn-Cu,Sn0.900Cu0.100,6.458908333
Sn-Cu,Sn0.896Cu0.104,6.449988889
Sn-Cu,Sn0.897Cu0.103,6.449988889
Sn-Cu,Sn0.893Cu0.107,6.446338889
Sn-Cu,Sn0.894Cu0.106,6.446338889
Sn-Cu,Sn0.894Cu0.106,6.446338889
Sn-Zn-Cu,Sn0.869Zn0.030Cu0.101,6.430188333
Sn-Cu,Sn0.901Cu0.099,6.427276667
Sn-Cu,Sn0.890Cu0.110,6.419613889
Sn-Cu,Sn0.887Cu0.113,6.418313889
Sn-Cu,Sn0.889Cu0.111,6.416897222
Bi-Sn-Sb,Bi0.755Sn0.244Sb0.001,6.378543333
Bi-Sn-Zn,Bi0.824Sn0.115Zn0.061,6.354143611
Bi-Sn-Zn,Bi0.797Sn0.129Zn0.074,6.339036667
Bi-Sn-Ag,Bi0.833Sn0.119Ag0.048,6.337926389
Bi-Sn-Cu,Bi0.757Sn0.213Cu0.030,6.332933333
Bi-Sn-Ag,Bi0.746Sn0.239Ag0.015,6.315258333
Bi-Sn-Sb,Bi0.907Sn0.089Sb0.004,6.312929167
Sn-Ag-Cu,Sn0.849Ag0.035Cu0.116,6.268091944
Ga-Sn-Cu,Ga0.025Sn0.854Cu0.121,6.243995
Bi-Sn-Cu,Bi0.041Sn0.836Cu0.123,6.239089722
Sn-Zn-Cu,Sn0.852Zn0.052Cu0.096,6.230906013
Bi-Sn-Sb,Bi0.842Sn0.124Sb0.034,6.227854167
Bi-Sn-Cu,Bi0.035Sn0.828Cu0.137,6.215297778
Ga-Bi,Ga0.007Bi0.993,6.213733333
Bi,Bi1.000,6.205
Bi-Ag,Bi1.000,6.205
Bi-Ag,Bi1.000,6.205
Bi-Cu,Bi1.000,6.205
Sn-Zn-Cu,Sn0.808Zn0.030Cu0.162,6.201302778
Ga-Bi,Ga0.004Bi0.996,6.197958333
Bi-Zn,Bi0.997Zn0.003,6.197958333
Ga-Bi,Ga0.002Bi0.998,6.197425
Ga-Bi,Ga0.001Bi0.999,6.197425
Ga-Bi,Ga0.002Bi0.998,6.197425
Bi-In,Bi0.997In0.003,6.196116667
Bi-In,Bi0.997In0.003,6.196116667
Bi-Zn,Bi0.995Zn0.005,6.194083333
Bi-Zn,Bi0.995Zn0.005,6.194083333
Bi-Zn,Bi0.995Zn0.005,6.194083333
Bi-Sn-Sb,Bi0.742Sn0.200Sb0.058,6.192585556
Bi-Zn,Bi0.994Zn0.006,6.190383333
Bi-Sb,Bi0.999Sb0.001,6.189675
Bi-Ag,Bi0.997Ag0.003,6.188908333
Bi-In,Bi0.996In0.004,6.187637778
Bi-Sn-Sb,Bi0.805Sn0.146Sb0.049,6.186598333
Ga-Bi,Ga0.229Bi0.771,6.186288184
Ga-Bi,Ga0.230Bi0.770,6.184723526
Ga-Bi,Ga0.230Bi0.770,6.184723526
Ga-Bi,Ga0.230Bi0.770,6.184723526
Bi-In,Bi0.995In0.005,6.183762778
Ga-Bi,Ga0.228Bi0.772,6.18295485
Bi-Ag,Bi0.996Ag0.004,6.182875
Bi-Zn,Bi0.992Zn0.008,6.182633333
Bi-Zn,Bi0.992Zn0.008,6.182633333
Bi-Sn-Ag,Bi0.973Sn0.015Ag0.012,6.180151944
Bi-In,Bi0.994In0.006,6.180062778
Bi-In,Bi0.994In0.006,6.180062778
Bi-Ag,Bi0.995Ag0.005,6.179
Sn-Zn-Cu,Sn0.799Zn0.022Cu0.179,6.175555556
Ga-Bi-In,Ga0.009Bi0.975In0.016,6.172882842
Bi-Cu,Bi0.998Cu0.002,6.171491667
Bi-Cu,Bi0.998Cu0.002,6.171491667
Bi-Sb,Bi0.998Sb0.002,6.17065
Bi-Sb,Bi0.998Sb0.002,6.17065
Bi-In,Bi0.980In0.020,6.1672725
Bi-In,Bi0.980In0.020,6.1672725
Bi-In,Bi0.825In0.175,6.165558889
Bi-In,Bi0.826In0.174,6.165558889
Bi-Sn-Cu,Bi0.090Sn0.807Cu0.103,6.157316389
Ga-Bi-In,Ga0.170Bi0.792In0.038,6.156737927
Bi-Sb,Bi0.997Sb0.003,6.155858333
Sn-Zn-Cu,Sn0.899Zn0.014Cu0.087,6.151906356
Bi-Sn-Ag,Bi0.848Sn0.091Ag0.061,6.150576389
Bi-Zn,Bi0.991Zn0.009,6.149173333
Bi-Sn-Sb,Bi0.753Sn0.188Sb0.059,6.148782222
Sn-Ag-Cu,Sn0.830Ag0.043Cu0.127,6.142291667
Bi-Zn,Bi0.990Zn0.010,6.142115
Bi-Zn,Bi0.987Zn0.013,6.142115
Bi-Cu,Bi0.996Cu0.004,6.141486111
Bi-Sn-Sb,Bi0.733Sn0.242Sb0.025,6.137054444
Ga-Bi-Cu,Ga0.243Bi0.755Cu0.002,6.136142821
Bi-Sn-Cu,Bi0.317Sn0.616Cu0.067,6.134104722
Ga-Bi-In,Ga0.208Bi0.739In0.053,6.133699444
Ga-Bi-Cu,Ga0.009Bi0.986Cu0.005,6.132939509
Ga-Bi-Ag,Ga0.235Bi0.764Ag0.001,6.132195748
Bi-Cu,Bi0.994Cu0.006,6.131761111
Bi-Sb,Bi0.995Sb0.005,6.129258333
Bi-Ag,Bi0.989Ag0.011,6.128958333
Bi-Ag,Bi0.990Ag0.010,6.128958333
Bi-Ag,Bi0.990Ag0.010,6.128958333
Bi-Ag,Bi0.990Ag0.010,6.128958333
Bi-Ag,Bi0.987Ag0.013,6.125941667
Bi-Sn-Cu,Bi0.901Sn0.079Cu0.020,6.124524444
Ga-Bi-In,Ga0.030Bi0.842In0.128,6.121532073
Ga-Bi-In,Ga0.206Bi0.771In0.023,6.120470342
Bi-Sb,Bi0.993Sb0.007,6.110233333
Ga-Bi-In,Ga0.121Bi0.827In0.052,6.107771902
Ga-Bi-In,Ga0.023Bi0.817In0.160,6.102705684
Ga-Bi-Ag,Ga0.190Bi0.809Ag0.001,6.098865214
Ga-Bi-Zn,Ga0.230Bi0.756Zn0.014,6.096863526
Ga-Bi-Zn,Ga0.246Bi0.734Zn0.020,6.093014765
Sn-Ag-Cu,Sn0.794Ag0.026Cu0.180,6.088469722
Ga-Bi-Zn,Ga0.240Bi0.736Zn0.024,6.087764209
Ga-Sn-Cu,Ga0.042Sn0.818Cu0.140,6.084995
Sn-Ag-Cu,Sn0.815Ag0.072Cu0.113,6.083671389
Ga-Bi-In,Ga0.256Bi0.600In0.144,6.083234081
Bi-In-Ag,Bi0.978In0.007Ag0.015,6.081883611
Bi-Zn-Cu,Bi0.977Zn0.022Cu0.001,6.081660833
Sn-Zn-Cu,Sn0.779Zn0.052Cu0.169,6.075049444
Ga-Bi-In,Ga0.205Bi0.790In0.005,6.074257842
Bi-Cu,Bi0.989Cu0.011,6.072740278
Bi-Cu,Bi0.989Cu0.011,6.072740278
Ga-Bi-In,Ga0.243Bi0.691In0.066,6.069441774
Bi-In-Cu,Bi0.797In0.202Cu0.001,6.064830278
Bi-Sb,Bi0.991Sb0.009,6.064608333
Bi-Sb,Bi0.991Sb0.009,6.064608333
Sn-Zn-Cu,Sn0.781Zn0.092Cu0.127,6.062852778
Ga-Bi-Zn,Ga0.250Bi0.729Zn0.021,6.053986432
Ga-Bi-Sb,Ga0.222Bi0.771Sb0.007,6.051602073
Sn-Zn-Cu,Sn0.786Zn0.002Cu0.212,6.0493975
Bi-Sb,Bi0.990Sb0.010,6.045925
Bi-Sb,Bi0.990Sb0.010,6.045925
Bi-In-Cu,Bi0.965In0.024Cu0.011,6.045540556
Bi-In-Cu,Bi0.980In0.010Cu0.010,6.044448889
Bi-In-Zn,Bi0.876In0.109Zn0.015,6.044283611
Bi-Cu,Bi0.987Cu0.013,6.043723611
Ga-Sn-Cu,Ga0.033Sn0.798Cu0.169,6.035029444
Bi-Sn-Ag,Bi0.906Sn0.051Ag0.043,6.034641389
Bi-Cu,Bi0.986Cu0.014,6.032040278
Bi-In-Ag,Bi0.889In0.104Ag0.007,6.030660278
Ga-Sn-Cu,Ga0.055Sn0.806Cu0.139,6.023513397
Bi-Cu,Bi0.985Cu0.015,6.021644444
Sn-Zn-Cu,Sn0.905Zn0.012Cu0.083,6.020994216
Ga-Bi-Zn,Ga0.223Bi0.752Zn0.025,6.015380406
Sn-Zn-Cu,Sn0.763Zn0.068Cu0.169,6.013821667
Ga-Bi-Zn,Ga0.127Bi0.839Zn0.034,6.013641346
Ga-Bi-Zn,Ga0.247Bi0.725Zn0.028,6.009850321
Bi-In-Zn,Bi0.857In0.109Zn0.034,6.000865833
Ga-Bi-Zn,Ga0.267Bi0.711Zn0.022,5.996702671
Ga-Bi-Zn,Ga0.216Bi0.757Zn0.027,5.991510962
Sn-Sb-Cu,Sn0.791Sb0.098Cu0.111,5.989777778
Ga-Bi-Sb,Ga0.178Bi0.813Sb0.009,5.985987308
Ga-Sn-Cu,Ga0.087Sn0.808Cu0.105,5.985451453
Bi-In-Cu,Bi0.935In0.061Cu0.004,5.983043611
