elements,formula,Predicted_Tc
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
Ga-In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn-Zn,In0.486Sn0.494Zn0.020,6.996701111
In-Sn-Ag,In0.500Sn0.496Ag0.004,6.996069444
In-Sn-Ag,In0.503Sn0.496Ag0.001,6.992802778
In-Sn-Ag,In0.498Sn0.497Ag0.005,6.989058333
In-Sn-Zn,In0.486Sn0.503Zn0.011,6.984346667
In-Sn-Zn,In0.498Sn0.502,6.982875
In-Sn-Sb,In0.499Sn0.498Sb0.003,6.977558333
In-Sn-Zn,In0.487Sn0.508Zn0.005,6.974156667
In-Sn-Sb,In0.500Sn0.496Sb0.004,6.972458333
In-Sn-Sb,In0.500Sn0.493Sb0.007,6.972458333
In-Sn-Ag,In0.487Sn0.510Ag0.003,6.96454
In-Sn-Ag,In0.513Sn0.484Ag0.003,6.951791667
In-Sn-Ag,In0.502Sn0.491Ag0.007,6.951377778
Ga-In-Sn,Ga0.010In0.493Sn0.497,6.951143056
Ga-In-Sn,Ga0.014In0.483Sn0.503,6.9505
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn-Zn,Bi0.800Sn0.198Zn0.002,6.950148333
Bi-Sn,Bi0.800Sn0.200,6.949571667
Bi-Sn,Bi0.800Sn0.200,6.949571667
In-Sn-Cu,In0.505Sn0.492Cu0.003,6.948125
In-Sn-Zn,In0.511Sn0.483Zn0.006,6.948108333
In-Sn-Sb,In0.513Sn0.485Sb0.002,6.941872222
Ga-In-Sn,Ga0.012In0.490Sn0.498,6.941296667
In-Sn-Ag,In0.487Sn0.499Ag0.014,6.940898333
In-Sn-Sb,In0.507Sn0.490Sb0.003,6.940269444
Ga-In-Sn,Ga0.002In0.490Sn0.508,6.93874
In-Sn-Zn,In0.490Sn0.508Zn0.002,6.93874
Bi-Sn,Bi0.803Sn0.197,6.938698333
Bi-Sn,Bi0.804Sn0.196,6.938698333
Bi-Sn,Bi0.803Sn0.197,6.938698333
Bi-Sn,Bi0.803Sn0.197,6.938698333
In-Sn-Zn,In0.486Sn0.481Zn0.033,6.935717778
In-Sn-Cu,In0.494Sn0.498Cu0.008,6.935203889
Bi-Sn-Ag,Bi0.796Sn0.194Ag0.010,6.934173333
Bi-Sn-Ag,Bi0.797Sn0.197Ag0.006,6.934173333
In-Sn-Ag,In0.485Sn0.501Ag0.014,6.933298333
In-Sn-Ag,In0.491Sn0.498Ag0.011,6.932615
In-Sn-Ag,In0.509Sn0.485Ag0.006,6.931088889
Ga-In-Sn,Ga0.012In0.505Sn0.483,6.928965
Bi-In-Sn,Bi0.008In0.487Sn0.505,6.928073889
In-Sn-Sb,In0.500Sn0.488Sb0.012,6.927697222
In-Sn-Zn,In0.508Sn0.481Zn0.011,6.927548333
Bi-Sn-Zn,Bi0.807Sn0.191Zn0.002,6.926459444
In-Sn-Sb,In0.486Sn0.513Sb0.001,6.923891667
Ga-In-Sn,Ga0.006In0.514Sn0.480,6.923658333
In-Sn-Sb,In0.484Sn0.515Sb0.001,6.915616667
In-Sn-Cu,In0.502Sn0.488Cu0.010,6.915611111
In-Sn-Zn,In0.478Sn0.504Zn0.018,6.909217222
In-Sn-Zn,In0.485Sn0.474Zn0.041,6.906717778
Bi-In-Sn,Bi0.009In0.494Sn0.497,6.904843889
Bi-In-Sn,Bi0.012In0.487Sn0.501,6.901999444
Ga-In-Sn,Ga0.130In0.485Sn0.385,6.901927842
Bi-In-Sn,Bi0.812Sn0.188,6.89739
Bi-Sn-Zn,Bi0.796Sn0.195Zn0.009,6.897163333
In-Sn-Cu,In0.497Sn0.489Cu0.014,6.895725
Ga-In-Sn,Ga0.018In0.504Sn0.478,6.895216111
Bi-In-Sn,Bi0.787In0.015Sn0.198,6.895188889
