elements,formula,Predicted_Tc
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.502Sn0.498,6.997486111
In-Sn,In0.502Sn0.498,6.997486111
In-Sn,In0.499Sn0.501,6.993569444
In-Sn,In0.499Sn0.501,6.993569444
In-Sn,In0.506Sn0.494,6.990275
In-Sn,In0.505Sn0.495,6.990275
In-Sn,In0.506Sn0.494,6.990275
In-Sn,In0.507Sn0.493,6.986591667
In-Sn,In0.496Sn0.504,6.969895556
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn,Bi0.802Sn0.198,6.950148333
In-Sn-Cu,In0.498Sn0.493Cu0.009,6.943083333
Bi-Sn,Bi0.804Sn0.196,6.938698333
Bi-Sn,Bi0.808Sn0.192,6.926459444
In-Sn-Zn,In0.496Sn0.481Zn0.023,6.91934
Bi-Sn,Bi0.799Sn0.201,6.909045
Bi-Sn,Bi0.798Sn0.202,6.89987
Bi-Sn,Bi0.812Sn0.188,6.89739
Bi-Sn,Bi0.811Sn0.189,6.895395556
Bi-Sn,Bi0.811Sn0.189,6.895395556
Ga-In-Sn,Ga0.010In0.514Sn0.476,6.887211389
Bi-Sn,Bi0.815Sn0.185,6.881206667
Bi-In-Sn,Bi0.003In0.522Sn0.475,6.876691667
Bi-In-Sn,Bi0.016In0.489Sn0.495,6.8606675
In-Sn-Cu,In0.448Sn0.493Cu0.059,6.845779444
Bi-Sn-Ag,Bi0.797Sn0.186Ag0.017,6.840036667
In-Sn-Zn,In0.510Sn0.454Zn0.036,6.801951111
Ga-In-Sn,Ga0.013In0.596Sn0.391,6.791859722
In-Sn-Zn,In0.520Sn0.448Zn0.032,6.785604444
Ga-In-Sn,Ga0.140In0.472Sn0.388,6.785108953
Ga-In-Sn,Ga0.019In0.600Sn0.381,6.774155278
In-Sn-Sb,In0.476Sn0.493Sb0.031,6.773258333
Ga-In-Sn,Ga0.132In0.507Sn0.361,6.772761731
In-Sn-Ag,In0.500Sn0.474Ag0.026,6.768084444
In-Sn-Cu,In0.471Sn0.506Cu0.023,6.756764167
Bi-In-Sn,Bi0.026In0.503Sn0.471,6.756293333
In-Sn-Zn,In0.470Sn0.482Zn0.048,6.742808333
Bi-In-Sn,Bi0.802In0.035Sn0.163,6.742635
Ga-In-Sn,Ga0.140In0.450Sn0.410,6.741415897
In-Sn-Zn,In0.550Sn0.423Zn0.027,6.739826111
In-Sn-Cu,In0.502Sn0.469Cu0.029,6.739291667
Ga-In-Sn,Ga0.174In0.511Sn0.315,6.738180192
Ga-In-Sn,Ga0.162In0.502Sn0.336,6.737794979
In-Sn-Cu,In0.490Sn0.447Cu0.063,6.735930556
Bi-In-Sn,Bi0.029In0.476Sn0.495,6.734367222
In-Sn-Sb,In0.484Sn0.471Sb0.045,6.728385556
Ga-In-Sn,Ga0.186In0.493Sn0.321,6.723466645
In-Sn-Zn,In0.517Sn0.434Zn0.049,6.721854444
Bi-Sn-Cu,Bi0.784Sn0.202Cu0.014,6.721851667
Ga-In-Sn,Ga0.190In0.480Sn0.330,6.721697756
In-Sn-Zn,In0.519Sn0.414Zn0.067,6.713811111
Bi-In-Sn,Bi0.018In0.585Sn0.397,6.713258889
In-Sn-Zn,In0.515Sn0.407Zn0.078,6.712336111
In-Sn-Zn,In0.503Sn0.423Zn0.074,6.711647222
Ga-Bi-Sn,Ga0.060Bi0.742Sn0.198,6.705511026
In-Sn-Ag,In0.525Sn0.451Ag0.024,6.705412778
In-Sn-Cu,In0.612Sn0.383Cu0.005,6.701238889
