elements,formula,Predicted_Tc
Bi-Sn-Ag,Bi0.820Sn0.148Ag0.032,6.623031667
Bi-Sn-Zn,Bi0.761Sn0.210Zn0.029,6.621706667
Bi-Sn-Zn,Bi0.757Sn0.207Zn0.036,6.619089444
Bi-Sn-Zn,Bi0.776Sn0.173Zn0.051,6.603019444
Bi-Sn-Zn,Bi0.799Sn0.150Zn0.051,6.587259444
Bi-Sn-Ag,Bi0.761Sn0.226Ag0.013,6.568799444
Bi-Sn-Sb,Bi0.826Sn0.157Sb0.017,6.567573333
Bi-Sn-Zn,Bi0.830Sn0.142Zn0.028,6.564765556
Bi-Sn-Cu,Bi0.771Sn0.205Cu0.024,6.560738333
Bi-Sn-Ag,Bi0.862Sn0.131Ag0.007,6.554042778
Bi-Sn-Zn,Bi0.745Sn0.213Zn0.042,6.533383333
Bi-Sn-Zn,Bi0.808Sn0.141Zn0.051,6.530317778
Sn-Cu,Sn0.900Cu0.100,6.458908333
Sn-Cu,Sn0.900Cu0.100,6.458908333
Sn-Cu,Sn0.899Cu0.101,6.450588889
Sn-Cu,Sn0.897Cu0.103,6.449988889
Sn-Cu,Sn0.895Cu0.105,6.446338889
Sn-Cu,Sn0.891Cu0.109,6.431313889
Sn-Cu,Sn0.891Cu0.109,6.431313889
Bi-Sn-Sb,Bi0.844Sn0.141Sb0.015,6.427401111
Sn-Cu,Sn0.901Cu0.099,6.427276667
Sn-Cu,Sn0.890Cu0.110,6.419613889
Sn-Cu,Sn0.890Cu0.110,6.419613889
Bi-Sn-Zn,Bi0.736Sn0.222Zn0.042,6.412157778
Bi-Sn-Zn,Bi0.831Sn0.115Zn0.054,6.411345833
Sn-Ag-Cu,Sn0.876Ag0.013Cu0.111,6.386777778
Sn-Sb-Cu,Sn0.883Sb0.012Cu0.105,6.385453889
Bi-Sn-Cu,Bi0.013Sn0.881Cu0.106,6.373805556
Bi-Sn-Sb,Bi0.752Sn0.208Sb0.040,6.369381667
Sn-Zn-Cu,Sn0.855Zn0.029Cu0.116,6.367655278
Sn-Zn-Cu,Sn0.857Zn0.012Cu0.131,6.353684444
Sn-Ag-Cu,Sn0.863Ag0.016Cu0.121,6.346819444
