elements,calculated,Predicted_Tc,Elements
Pb-Tb,yes,7.186228662202357,Pb0.999Tb0.001
Pb-Mn,yes,7.163848372588169,Pb0.978Mn0.022
Pb-W,yes,7.186228662202357,Pb0.999W0.001
Pb-Ag,yes,7.164928372588168,Pb0.976Ag0.024
Pb-Sn,yes,7.399317777777775,Pb0.353Sn0.647
Pb-In,yes,7.186228662202357,Pb0.998In0.002
Pb-Ge,yes,7.186228662202357,Pb0.999Ge0.001
Pb-Zn,yes,7.163898589648623,Pb0.997Zn0.003
Pb-Ru,yes,7.186228662202357,Pb0.999Ru0.001
Pb-Hf,yes,7.163898589648623,Pb0.997Hf0.003
Pb-Nb,yes,9.166853922535712,Pb0.003Nb0.997
Pb-Pt,yes,7.186228662202357,Pb0.998Pt0.002
Pb-Pd,yes,7.186228662202357,Pb0.998Pd0.002
Pb-Ta,yes,7.186228662202357,Pb0.999Ta0.001
Pb-Mo,yes,11.37711222222223,Pb0.651Mo0.349
Pb-Tc,yes,9.598038958633948,Pb0.032Tc0.968
Pb-Rh,yes,7.186228662202357,Pb0.999Rh0.001
Pb-Os,yes,7.163898589648623,Pb0.997Os0.003
Pb-Ti,yes,7.163898589648623,Pb0.997Ti0.003
Pb-Ir,yes,7.186228662202357,Pb1.000
Pb-Sb,yes,7.620849999999973,Pb0.967Sb0.033
Pb-Au,yes,7.1638183725881674,Pb0.977Au0.023
Pb-Th,yes,7.186228662202357,Pb0.999Th0.001
Pb-Pu,yes,11.823785571558057,Pb0.007Pu0.993
Pb-Mg,yes,7.186228662202357,Pb0.999Mg0.001
Pb-U,yes,7.186228662202357,Pb1.000
Pb-Np,yes,7.163898589648623,Pb0.997Np0.003
Sr-Ca,yes,22.04801640211641,Sr0.011Ca0.989
Sr-Y,yes,7.714976712176708,Sr0.003Y0.997
Sr-Cu,yes,5.653948365079359,Sr0.503Cu0.497
Sr-Ba,yes,4.628026587301587,Sr0.991Ba0.009
Sr-La,yes,5.251402264032259,Sr0.010La0.990
Sr-Bi,yes,6.181886512289452,Sr0.003Bi0.997
Sr-Ce,yes,6.038203670634931,Sr0.791Ce0.209
Sr-Fe,yes,8.04106777777777,Sr0.220Fe0.780
Sr-Li,yes,12.168879303104296,Sr0.007Li0.993
Sr-Hg,yes,4.628026587301587,Sr0.998Hg0.002
Sr-V,yes,6.183001071428577,Sr0.514V0.486
Sr-Cr,yes,4.63310992063492,Sr0.994Cr0.006
Sr-Re,yes,4.628026587301587,Sr0.998Re0.002
Sr-Nd,yes,4.628404365079366,Sr0.991Nd0.009
Sr-Gd,yes,4.48757880952381,Sr0.994Gd0.006
Sr-Yb,yes,4.634393253968254,Sr0.986Yb0.014
Sr-Sm,yes,4.628026587301587,Sr0.991Sm0.009
Sr-Eu,yes,4.628026587301587,Sr0.998Eu0.002
Sr-Dy,yes,4.628026587301587,Sr0.978Dy0.022
Sr-Ho,yes,4.637609920634921,Sr0.982Ho0.018
Sr-Be,yes,5.54727777777777,Sr0.581Be0.419
Sr-Er,yes,4.6324829365079365,Sr0.984Er0.016
Sr-Al,yes,4.628026587301587,Sr0.998Al0.002
Sr-Co,yes,4.609304365079365,Sr0.998Co0.002
Sr-Pr,yes,4.634651587301587,Sr0.989Pr0.011
Sr-Cs,yes,4.653361904761906,Sr0.806Cs0.194
Sr-Rb,yes,6.446697314814807,Sr0.560Rb0.440
Sr-Cd,yes,4.587543809523809,Sr0.988Cd0.012
Sr-Ga,yes,5.548036637902428,Sr0.030Ga0.970
Sr-K,yes,5.140443960113953,Sr0.634K0.366
Sr-Na,yes,19.38453103174605,Sr0.936Na0.064
Sr-Ni,yes,4.628026587301587,Sr0.998Ni0.002
Sr-Tm,yes,4.639593253968254,Sr0.977Tm0.023
Sr-Lu,yes,4.676764047619047,Sr0.980Lu0.020
Sr-Zr,yes,4.628026587301587,Sr0.998Zr0.002
Sr-Sc,yes,9.081249909812405,Sr0.008Sc0.992
Sr-Tb,yes,4.564031269841271,Sr0.995Tb0.005
Sr-Mn,yes,4.628026587301587,Sr1.000
Sr-W,yes,4.554745476190476,Sr0.997W0.003
Sr-Ag,yes,4.8261647619047645,Sr0.720Ag0.280
Sr-Sn,yes,4.820827531746031,Sr0.502Sn0.498
Sr-In,yes,4.629085476190476,Sr0.976In0.024
Sr-Ge,yes,5.283793843193846,Sr0.002Ge0.998
Sr-Zn,yes,3.951332420634917,Sr0.976Zn0.024
Sr-Ru,yes,4.628026587301587,Sr1.000
Sr-Hf,yes,4.996276587301581,Sr0.980Hf0.020
Sr-Nb,yes,9.149116318791744,Sr0.005Nb0.995
Sr-Pt,yes,4.628026587301587,Sr0.998Pt0.002
Sr-Pd,yes,4.6830460714285715,Sr0.832Pd0.168
Sr-Ta,yes,4.859275028998778,Sr0.540Ta0.460
Sr-Mo,yes,4.624947373015871,Sr0.840Mo0.160
Sr-Tc,yes,9.975257990620486,Sr0.064Tc0.936
Sr-Rh,yes,4.293934920634922,Sr0.995Rh0.005
Sr-Os,yes,3.616196182539683,Sr0.991Os0.009
Sr-Ti,yes,4.653432976190474,Sr0.726Ti0.274
Sr-Ir,yes,4.628026587301587,Sr0.992Ir0.008
Sr-Sb,yes,4.882734087301591,Sr0.764Sb0.236
Sr-Au,yes,4.628026587301587,Sr0.985Au0.015
Sr-Th,yes,4.91271773809524,Sr0.885Th0.115
Sr-Pu,yes,11.861012238224724,Sr0.034Pu0.966
Sr-Mg,yes,4.628293253968255,Sr0.980Mg0.020
Sr-U,yes,0.941542174603173,Sr0.973U0.027
Sr-Np,yes,4.628026587301587,Sr0.996Np0.004
Ca-Y,yes,22.048349735449744,Ca0.887Y0.113
Ca-Cu,yes,22.04801640211641,Ca0.975Cu0.025
Ca-Ba,yes,22.04801640211641,Ca0.901Ba0.099
Ca-La,yes,22.04801640211641,Ca0.998La0.002
Ca-Bi,yes,22.04801640211641,Ca0.996Bi0.004
Ca-Ce,yes,22.04821640211641,Ca0.985Ce0.015
Ca-Fe,yes,22.053149735449743,Ca0.987Fe0.013
Ca-Li,yes,22.04801640211641,Ca0.998Li0.002
Ca-Hg,yes,22.04801640211641,Ca0.963Hg0.037
Ca-V,yes,21.861794179894186,Ca0.998V0.002
Ca-Cr,yes,22.05501640211641,Ca0.965Cr0.035
Ca-Re,yes,22.04801640211641,Ca0.995Re0.005
Ca-Nd,yes,22.04801640211641,Ca0.903Nd0.097
Ca-Gd,yes,22.045263068783076,Ca0.939Gd0.061
Ca-Yb,yes,22.04801640211641,Ca0.940Yb0.060
Ca-Sm,yes,22.04801640211641,Ca0.901Sm0.099
Ca-Eu,yes,22.04801640211641,Ca0.930Eu0.070
Ca-Dy,yes,22.04801640211641,Ca0.890Dy0.110
Ca-Ho,yes,22.04801640211641,Ca1.000
Ca-Be,yes,22.04801640211641,Ca0.978Be0.022
Ca-Er,yes,22.04801640211641,Ca0.914Er0.086
Ca-Al,yes,22.058383068783076,Ca0.895Al0.105
Ca-Co,yes,21.878069735449742,Ca0.997Co0.003
Ca-Pr,yes,22.04801640211641,Ca0.998Pr0.002
Ca-Cs,yes,22.04801640211641,Ca0.898Cs0.102
Ca-Rb,yes,22.04801640211641,Ca0.990Rb0.010
Ca-Cd,yes,22.04801640211641,Ca0.877Cd0.123
Ca-Ga,yes,22.04801640211641,Ca0.953Ga0.047
Ca-K,yes,22.04801640211641,Ca0.973K0.027
Ca-Na,yes,27.832648148148163,Ca0.931Na0.069
Ca-Ni,yes,22.04801640211641,Ca0.969Ni0.031
Ca-Tm,yes,22.04801640211641,Ca0.955Tm0.045
Ca-Lu,yes,22.05021640211641,Ca0.917Lu0.083
Ca-Zr,yes,21.975554497354505,Ca0.997Zr0.003
Ca-Sc,yes,22.04801640211641,Ca0.999Sc0.001
Ca-Tb,yes,22.04801640211641,Ca0.920Tb0.080
Ca-Mn,yes,22.04801640211641,Ca1.000
Ca-W,yes,22.04801640211641,Ca0.921W0.079
Ca-Ag,yes,22.04801640211641,Ca0.993Ag0.007
Ca-Sn,yes,22.04801640211641,Ca0.944Sn0.056
Ca-In,yes,22.056549735449742,Ca0.888In0.112
Ca-Ge,yes,22.06011640211641,Ca0.906Ge0.094
Ca-Zn,yes,22.048456402116408,Ca0.944Zn0.056
Ca-Ru,yes,22.04801640211641,Ca0.989Ru0.011
Ca-Hf,yes,22.04801640211641,Ca0.993Hf0.007
Ca-Nb,yes,22.04801640211641,Ca0.999Nb0.001
Ca-Pt,yes,22.04801640211641,Ca0.994Pt0.006
Ca-Pd,yes,22.04801640211641,Ca0.940Pd0.060
Ca-Ta,yes,22.060860846560853,Ca0.933Ta0.067
Ca-Mo,yes,22.054949735449743,Ca0.886Mo0.114
Ca-Tc,yes,22.04801640211641,Ca0.953Tc0.047
Ca-Rh,yes,22.04801640211641,Ca1.000
Ca-Os,yes,21.969816402116408,Ca0.985Os0.015
Ca-Ti,yes,22.053683068783076,Ca0.877Ti0.123
Ca-Ir,yes,22.04801640211641,Ca0.990Ir0.010
Ca-Sb,yes,22.04801640211641,Ca0.957Sb0.043
Ca-Au,yes,22.04801640211641,Ca0.994Au0.006
Ca-Th,yes,22.04801640211641,Ca0.926Th0.074
Ca-Pu,yes,22.04801640211641,Ca0.903Pu0.097
Ca-Mg,yes,22.04801640211641,Ca0.953Mg0.047
Ca-U,yes,2.197404396825398,Ca0.966U0.034
Ca-Np,yes,22.04801640211641,Ca0.996Np0.004
Y-Cu,yes,7.714976712176708,Y0.997Cu0.003
Y-Ba,yes,7.714976712176708,Y0.996Ba0.004
Y-La,yes,7.714976712176708,Y0.996La0.004
Y-Bi,yes,6.181886512289452,Y0.003Bi0.997
Y-Ce,yes,7.714976712176708,Y0.999Ce0.001
Y-Fe,yes,7.714976712176708,Y1.000
Y-Li,yes,12.16771263643763,Y0.027Li0.973
Y-Hg,yes,7.714976712176708,Y0.999Hg0.001
Y-V,yes,7.888329489954484,Y0.996V0.004
Y-Cr,yes,7.714976712176708,Y0.998Cr0.002
Y-Re,yes,7.714976712176708,Y0.997Re0.003
Y-Nd,yes,7.714976712176708,Y0.999Nd0.001
Y-Gd,yes,7.710260045510042,Y0.997Gd0.003
Y-Yb,yes,7.714976712176708,Y0.999Yb0.001
Y-Sm,yes,7.714976712176708,Y0.996Sm0.004
Y-Eu,yes,7.714976712176708,Y0.999Eu0.001
Y-Dy,yes,7.714976712176708,Y1.000
Y-Ho,yes,7.714976712176708,Y0.998Ho0.002
Y-Be,yes,7.714976712176708,Y0.998Be0.002
Y-Er,yes,7.714976712176708,Y0.998Er0.002
Y-Al,yes,7.714976712176708,Y0.996Al0.004
Y-Co,yes,7.691143378843375,Y0.999Co0.001
Y-Pr,yes,7.714976712176708,Y0.998Pr0.002
Y-Cs,yes,7.714976712176708,Y0.999Cs0.001
Y-Rb,yes,7.714976712176708,Y1.000
Y-Cd,yes,7.714976712176708,Y1.000
Y-Ga,yes,7.714976712176708,Y0.998Ga0.002
Y-K,yes,7.714976712176708,Y0.996K0.004
Y-Na,yes,18.89291033596038,Y0.929Na0.071
Y-Ni,yes,7.714976712176708,Y0.999Ni0.001
Y-Tm,yes,7.714976712176708,Y1.000
Y-Lu,yes,7.714976712176708,Y1.000
Y-Zr,yes,7.659276712176708,Y0.997Zr0.003
Y-Sc,yes,9.081249909812405,Y0.001Sc0.999
Y-Tb,yes,7.694171950271946,Y0.996Tb0.004
Y-Mn,yes,6.6970851296851315,Y0.999Mn0.001
Y-W,yes,7.677752902652899,Y0.997W0.003
Y-Ag,yes,7.714976712176708,Y0.998Ag0.002
Y-Sn,yes,7.714976712176708,Y0.997Sn0.003
Y-In,yes,7.714976712176708,Y0.998In0.002
Y-Ge,yes,7.714976712176708,Y0.996Ge0.004
Y-Zn,yes,7.714976712176708,Y0.998Zn0.002
Y-Ru,yes,7.714976712176708,Y0.999Ru0.001
Y-Hf,yes,7.714976712176708,Y0.997Hf0.003
Y-Nb,yes,9.228815910801671,Y0.004Nb0.996
Y-Pt,yes,7.714976712176708,Y1.000
Y-Pd,yes,7.714976712176708,Y0.997Pd0.003
Y-Ta,yes,7.714976712176708,Y0.999Ta0.001
Y-Mo,yes,7.714976712176708,Y0.999Mo0.001
Y-Tc,yes,9.975257990620486,Y0.064Tc0.936
Y-Rh,yes,7.714976712176708,Y1.000
Y-Os,yes,7.714976712176708,Y1.000
Y-Ti,yes,7.714976712176708,Y0.997Ti0.003
