elements,calculated,Predicted_Tc,Elements
Pb-Tb,yes,7.186004666666651,Pb0.998Tb0.002
Pb-Mn,yes,7.18607716666665,Pb0.999Mn0.001
Pb-W,yes,7.18607716666665,Pb0.999W0.001
Pb-Ag,yes,7.186503388888873,Pb0.999Ag0.001
Pb-Sn,yes,7.416067222222229,Pb0.360Sn0.640
Pb-In,yes,7.1818677222222185,Pb0.997In0.003
Pb-Ge,yes,7.199968666666661,Pb0.948Ge0.052
Pb-Zn,yes,7.223518555555535,Pb0.932Zn0.068
Pb-Ru,yes,7.135188444444428,Pb0.994Ru0.006
Pb-Hf,yes,7.190454888888876,Pb0.986Hf0.014
Pb-Nb,yes,9.163844853801182,Pb0.003Nb0.997
Pb-Pt,yes,7.18607716666665,Pb0.999Pt0.001
Pb-Pd,yes,7.152030888888873,Pb0.998Pd0.002
Pb-Ta,yes,7.18607716666665,Pb0.999Ta0.001
Pb-Mo,yes,7.173856944444428,Pb0.999Mo0.001
Pb-Tc,yes,8.722517777777755,Pb0.151Tc0.849
Pb-Rh,yes,7.142086444444429,Pb0.998Rh0.002
Pb-Os,yes,7.00513655555554,Pb0.995Os0.005
Pb-Ti,yes,7.18606666666665,Pb1.000
Pb-Ir,yes,7.139193388888872,Pb0.999Ir0.001
Pb-Sb,yes,7.771719444444411,Pb0.950Sb0.050
Pb-Au,yes,7.186004666666651,Pb0.998Au0.002
Pb-Th,yes,7.186004666666651,Pb0.998Th0.002
Pb-Pu,yes,12.625056672412573,Pb0.001Pu0.999
Pb-Mg,yes,7.18606666666665,Pb1.000
Pb-U,yes,7.1641823888888725,Pb0.997U0.003
Pb-Np,yes,7.18607716666665,Pb0.999Np0.001
Sr-Ca,yes,23.122195833333294,Sr0.043Ca0.957
Sr-Y,yes,9.020778055555533,Sr0.046Y0.954
Sr-Cu,yes,10.43947956349206,Sr0.580Cu0.420
Sr-Ba,yes,6.375155277777802,Sr0.044Ba0.956
Sr-La,yes,9.136886944444457,Sr0.044La0.956
Sr-Bi,yes,9.382569444444412,Sr0.044Bi0.956
Sr-Ce,yes,5.775245897435906,Sr0.599Ce0.401
Sr-Fe,yes,5.7837538888888975,Sr0.600Fe0.400
Sr-Li,yes,14.97964944444443,Sr0.044Li0.956
Sr-Hg,yes,7.427408333333359,Sr0.044Hg0.956
Sr-V,yes,9.284759629629635,Sr0.041V0.959
Sr-Cr,yes,7.7670355555555535,Sr0.041Cr0.959
Sr-Re,yes,7.902411111111099,Sr0.044Re0.956
Sr-Nd,yes,8.200122380593262,Sr0.043Nd0.957
Sr-Gd,yes,7.704100656946536,Sr0.041Gd0.959
Sr-Yb,yes,7.095670833333328,Sr0.041Yb0.959
Sr-Sm,yes,8.014131889140273,Sr0.044Sm0.956
Sr-Eu,yes,8.191001666666665,Sr0.041Eu0.959
Sr-Dy,yes,8.515849503100387,Sr0.042Dy0.958
Sr-Ho,yes,8.79702908831909,Sr0.044Ho0.956
Sr-Be,yes,8.063318333333338,Sr0.041Be0.959
Sr-Er,yes,8.699821709401704,Sr0.041Er0.959
Sr-Al,yes,7.163005909090901,Sr0.041Al0.959
Sr-Co,yes,6.137019682539674,Sr0.042Co0.958
Sr-Pr,yes,7.774375195360189,Sr0.042Pr0.958
Sr-Cs,yes,7.410411452991452,Sr0.041Cs0.959
Sr-Rb,yes,7.574798888888863,Sr0.042Rb0.958
Sr-Cd,yes,5.9675317676767525,Sr0.044Cd0.956
Sr-Ga,yes,10.102887649572633,Sr0.041Ga0.959
Sr-K,yes,7.18740342185592,Sr0.041K0.959
Sr-Na,yes,9.093934301994302,Sr0.041Na0.959
Sr-Ni,yes,6.383491666666666,Sr0.040Ni0.960
Sr-Tm,yes,8.809357079772083,Sr0.042Tm0.958
Sr-Lu,yes,9.499060555555566,Sr0.041Lu0.959
Sr-Zr,yes,7.020149444444441,Sr0.044Zr0.956
Sr-Sc,yes,10.474816111111087,Sr0.044Sc0.956
Sr-Tb,yes,8.44994111823362,Sr0.041Tb0.959
Sr-Mn,yes,6.25448311965812,Sr0.039Mn0.961
Sr-W,yes,6.770091666666662,Sr0.043W0.957
Sr-Ag,yes,6.272104027777779,Sr0.041Ag0.959
Sr-Sn,yes,7.948345457516346,Sr0.044Sn0.956
Sr-In,yes,7.294507500000004,Sr0.039In0.961
Sr-Ge,yes,9.566223333333285,Sr0.041Ge0.959
Sr-Zn,yes,6.63200366666666,Sr0.041Zn0.959
Sr-Ru,yes,5.693768888888891,Sr0.043Ru0.957
Sr-Hf,yes,7.255011388888887,Sr0.041Hf0.959
Sr-Nb,yes,12.425721549707601,Sr0.039Nb0.961
Sr-Pt,yes,5.205327777777797,Sr0.044Pt0.956
Sr-Pd,yes,6.837216111111107,Sr0.041Pd0.959
Sr-Ta,yes,9.002996111111106,Sr0.044Ta0.956
Sr-Mo,yes,7.211775833333319,Sr0.041Mo0.959
Sr-Tc,yes,12.614116111111084,Sr0.041Tc0.959
Sr-Rh,yes,5.597667777777772,Sr0.041Rh0.959
Sr-Os,yes,5.693983611111099,Sr0.044Os0.956
Sr-Ti,yes,7.240157777777781,Sr0.044Ti0.956
Sr-Ir,yes,5.394778611111105,Sr0.042Ir0.958
Sr-Sb,yes,7.769460555555549,Sr0.043Sb0.957
Sr-Au,yes,5.148193055555555,Sr0.041Au0.959
Sr-Th,yes,6.90008622222221,Sr0.041Th0.959
Sr-Pu,yes,14.253870515873045,Sr0.042Pu0.958
Sr-Mg,yes,5.687108635531134,Sr0.497Mg0.503
Sr-U,yes,5.299904999999998,Sr0.041U0.959
Sr-Np,yes,8.665772601390984,Sr0.046Np0.954
Ca-Y,yes,19.609116666666612,Ca0.998Y0.002
Ca-Cu,yes,19.579805555555502,Ca0.994Cu0.006
Ca-Ba,yes,19.53637916666661,Ca0.997Ba0.003
Ca-La,yes,19.59171666666661,Ca0.998La0.002
Ca-Bi,yes,19.609116666666612,Ca0.999Bi0.001
Ca-Ce,yes,19.53976666666661,Ca0.998Ce0.002
Ca-Fe,yes,19.609116666666612,Ca0.999Fe0.001
Ca-Li,yes,19.32091111111106,Ca0.996Li0.004
Ca-Hg,yes,19.66316666666661,Ca1.000
Ca-V,yes,19.336155555555504,Ca0.999V0.001
Ca-Cr,yes,19.49375833333328,Ca0.994Cr0.006
Ca-Re,yes,19.522899999999947,Ca0.994Re0.006
Ca-Nd,yes,19.555233333333277,Ca0.997Nd0.003
Ca-Gd,yes,19.609116666666612,Ca0.999Gd0.001
Ca-Yb,yes,19.555233333333277,Ca0.997Yb0.003
Ca-Sm,yes,19.609116666666612,Ca0.998Sm0.002
Ca-Eu,yes,19.66316666666661,Ca1.000
Ca-Dy,yes,19.609116666666612,Ca0.998Dy0.002
Ca-Ho,yes,19.609116666666612,Ca0.999Ho0.001
Ca-Be,yes,19.609116666666612,Ca0.998Be0.002
Ca-Er,yes,19.555233333333277,Ca0.995Er0.005
Ca-Al,yes,19.40959444444439,Ca0.997Al0.003
Ca-Co,yes,19.66316666666661,Ca1.000
Ca-Pr,yes,19.66316666666661,Ca1.000
Ca-Cs,yes,19.66316666666661,Ca1.000
Ca-Rb,yes,19.609116666666612,Ca0.998Rb0.002
