elements,calculated,Predicted_Tc,Elements
Tl-Pb-Sr,yes,7.091766666666644,Tl0.027Pb0.964Sr0.009
Tl-Pb-Ca,yes,21.620774656084663,Tl0.130Pb0.005Ca0.865
Tl-Pb-Y,yes,7.087339210907263,Tl0.007Pb0.922Y0.071
Tl-Pb-Cu,yes,7.118315185185176,Tl0.026Pb0.972Cu0.002
Tl-Pb-Ba,yes,7.801696666666675,Tl0.098Pb0.424Ba0.478
Tl-Pb-La,yes,6.982726666666687,Tl0.082Pb0.915La0.003
Tl-Pb-Bi,yes,8.551866666666681,Tl0.020Pb0.446Bi0.534
Tl-Pb-Ce,yes,7.044196666666665,Tl0.036Pb0.920Ce0.044
Tl-Pb-Fe,yes,7.384646666666657,Tl0.011Pb0.209Fe0.780
Tl-Pb-Li,yes,11.886847352647347,Tl0.195Pb0.003Li0.802
Tl-Pb-Hg,yes,7.051893333333331,Tl0.047Pb0.940Hg0.013
Tl-Pb-V,yes,7.688688032456081,Tl0.001Pb0.965V0.034
Tl-Pb-Cr,yes,7.112478099389149,Tl0.017Pb0.981Cr0.002
Tl-Pb-Re,yes,7.108430080870618,Tl0.013Pb0.960Re0.027
Tl-Pb-Nd,yes,7.138884673870219,Tl0.007Pb0.971Nd0.022
Tl-Pb-Gd,yes,7.100576666666647,Tl0.023Pb0.950Gd0.027
Tl-Pb-Yb,yes,6.821800000000023,Tl0.068Pb0.877Yb0.055
Tl-Pb-Sm,yes,7.034933333333332,Tl0.037Pb0.918Sm0.045
Tl-Pb-Eu,yes,7.040309999999998,Tl0.041Pb0.924Eu0.035
Tl-Pb-Dy,yes,7.079796666666655,Tl0.022Pb0.932Dy0.046
Tl-Pb-Ho,yes,7.033236666666677,Tl0.058Pb0.936Ho0.006
Tl-Pb-Be,yes,7.564358888888892,Tl0.236Pb0.142Be0.622
Tl-Pb-Er,yes,6.830300000000025,Tl0.078Pb0.880Er0.042
Tl-Pb-Al,yes,7.1193325442405815,Tl0.006Pb0.948Al0.046
Tl-Pb-Co,yes,7.082966666666644,Tl0.031Pb0.948Co0.021
Tl-Pb-Pr,yes,7.093313333333308,Tl0.026Pb0.959Pr0.015
Tl-Pb-Cs,yes,7.058613333333311,Tl0.035Pb0.939Cs0.026
Tl-Pb-Rb,yes,7.0929700808706215,Tl0.020Pb0.931Rb0.049
Tl-Pb-Cd,yes,7.060043333333332,Tl0.046Pb0.943Cd0.011
Tl-Pb-Ga,yes,7.22292444444444,Tl0.003Pb0.435Ga0.562
Tl-Pb-K,yes,8.317664959064333,Tl0.017Pb0.880K0.103
Tl-Pb-Na,yes,14.658169458737945,Tl0.923Pb0.026Na0.051
Tl-Pb-Ni,yes,7.078375877573929,Tl0.004Pb0.915Ni0.081
Tl-Pb-Tm,yes,7.093313333333308,Tl0.027Pb0.957Tm0.016
Tl-Pb-Lu,yes,6.763133333333356,Tl0.092Pb0.856Lu0.052
Tl-Pb-Zr,yes,7.001779210907265,Tl0.006Pb0.925Zr0.069
Tl-Pb-Sc,yes,7.093540080870621,Tl0.014Pb0.933Sc0.053
Tl-Pb-Tb,yes,7.138884673870219,Tl0.006Pb0.970Tb0.024
Tl-Pb-Mn,yes,7.114302544240582,Tl0.004Pb0.942Mn0.054
Tl-Pb-W,yes,7.1128767475372845,Tl0.016Pb0.942W0.042
Tl-Pb-Ag,yes,7.112386747537284,Tl0.012Pb0.941Ag0.047
Tl-Pb-Sn,yes,7.401501111111109,Tl0.053Pb0.349Sn0.598
Tl-Pb-In,yes,7.07800999999998,Tl0.032Pb0.945In0.023
Tl-Pb-Ge,yes,6.74495000000001,Tl0.048Pb0.856Ge0.096
Tl-Pb-Zn,yes,7.112475877573916,Tl0.003Pb0.959Zn0.038
Tl-Pb-Ru,yes,7.089680080870625,Tl0.013Pb0.929Ru0.058
Tl-Pb-Hf,yes,7.060043333333332,Tl0.050Pb0.941Hf0.009
Tl-Pb-Nb,yes,7.92334944444444,Tl0.043Pb0.012Nb0.945
Tl-Pb-Pt,yes,6.830300000000025,Tl0.078Pb0.877Pt0.045
Tl-Pb-Pd,yes,7.112941851851839,Tl0.026Pb0.965Pd0.009
Tl-Pb-Ta,yes,7.092480080870621,Tl0.010Pb0.931Ta0.059
Tl-Pb-Mo,yes,11.138745555555564,Tl0.042Pb0.600Mo0.358
Tl-Pb-Tc,yes,9.74081600649351,Tl0.092Pb0.009Tc0.899
Tl-Pb-Rh,yes,6.74805333333334,Tl0.032Pb0.865Rh0.103
Tl-Pb-Os,yes,7.051113333333332,Tl0.055Pb0.939Os0.006
Tl-Pb-Ti,yes,6.9777234142039575,Tl0.010Pb0.907Ti0.083
Tl-Pb-Ir,yes,7.075356747537287,Tl0.011Pb0.935Ir0.054
Tl-Pb-Sb,yes,7.600873333333303,Tl0.023Pb0.945Sb0.032
Tl-Pb-Au,yes,7.091109210907257,Tl0.007Pb0.930Au0.063
Tl-Pb-Th,yes,6.913776666666678,Tl0.065Pb0.907Th0.028
Tl-Pb-Pu,yes,10.301733510471005,Tl0.102Pb0.389Pu0.509
Tl-Pb-Mg,yes,7.108576747537285,Tl0.015Pb0.962Mg0.023
Tl-Pb-U,yes,1.111604079365079,Tl0.051Pb0.933U0.016
Tl-Pb-Np,yes,7.094969210907251,Tl0.002Pb0.932Np0.066
Tl-Sr-Ca,yes,22.04801640211641,Tl0.070Sr0.040Ca0.890
Tl-Sr-Y,yes,4.587033492063491,Tl0.090Sr0.849Y0.061
Tl-Sr-Cu,yes,5.39828598412698,Tl0.019Sr0.527Cu0.454
Tl-Sr-Ba,yes,4.575663253968253,Tl0.024Sr0.965Ba0.011
Tl-Sr-La,yes,4.721072777777776,Tl0.038Sr0.917La0.045
Tl-Sr-Bi,yes,6.324025159457849,Tl0.119Sr0.014Bi0.867
Tl-Sr-Ce,yes,6.038203670634931,Tl0.009Sr0.801Ce0.190
Tl-Sr-Fe,yes,8.04106777777777,Tl0.017Sr0.197Fe0.786
Tl-Sr-Li,yes,12.16771263643763,Tl0.026Sr0.019Li0.955
Tl-Sr-Hg,yes,4.625586835257335,Tl0.012Sr0.646Hg0.342
Tl-Sr-V,yes,6.183001071428577,Tl0.302Sr0.212V0.486
Tl-Sr-Cr,yes,4.510642976190474,Tl0.039Sr0.909Cr0.052
Tl-Sr-Re,yes,4.628026587301587,Sr0.998Re0.002
Tl-Sr-Nd,yes,4.575091031746032,Tl0.027Sr0.959Nd0.014
Tl-Sr-Gd,yes,4.418959365079364,Tl0.079Sr0.915Gd0.006
Tl-Sr-Yb,yes,4.58202992063492,Tl0.026Sr0.950Yb0.024
Tl-Sr-Sm,yes,4.555060476190476,Tl0.082Sr0.915Sm0.003
Tl-Sr-Eu,yes,4.444093809523809,Tl0.094Sr0.900Eu0.006
Tl-Sr-Dy,yes,4.628026587301587,Tl0.011Sr0.978Dy0.011
Tl-Sr-Ho,yes,4.6375432539682535,Tl0.012Sr0.982Ho0.006
Tl-Sr-Be,yes,5.519408333333328,Tl0.015Sr0.613Be0.372
Tl-Sr-Er,yes,4.580119603174603,Tl0.022Sr0.962Er0.016
Tl-Sr-Al,yes,4.555060476190476,Tl0.080Sr0.908Al0.012
Tl-Sr-Co,yes,4.3148672222222215,Tl0.330Sr0.669Co0.001
Tl-Sr-Pr,yes,4.368832777777777,Tl0.117Sr0.878Pr0.005
Tl-Sr-Cs,yes,4.623276587301588,Tl0.015Sr0.953Cs0.032
Tl-Sr-Rb,yes,6.446697314814807,Tl0.006Sr0.559Rb0.435
Tl-Sr-Cd,yes,4.555060476190476,Tl0.032Sr0.968
Tl-Sr-Ga,yes,4.8593461568428085,Tl0.027Sr0.066Ga0.907
Tl-Sr-K,yes,5.140443960113953,Tl0.016Sr0.603K0.381
Tl-Sr-Na,yes,19.373997698412715,Tl0.029Sr0.915Na0.056
Tl-Sr-Ni,yes,4.351583888888888,Tl0.348Sr0.651Ni0.001
Tl-Sr-Tm,yes,4.622026587301587,Tl0.014Sr0.909Tm0.077
Tl-Sr-Lu,yes,4.63943373015873,Tl0.002Sr0.162Lu0.836
Tl-Sr-Zr,yes,4.607657142857143,Tl0.010Sr0.987Zr0.003
Tl-Sr-Sc,yes,4.958808977272718,Tl0.010Sr0.095Sc0.895
Tl-Sr-Tb,yes,4.57916015873016,Sr0.996Tb0.004
Tl-Sr-Mn,yes,3.6219907142857113,Tl0.053Sr0.930Mn0.017
Tl-Sr-W,yes,4.465776269841269,Tl0.013Sr0.931W0.056
Tl-Sr-Ag,yes,4.862485000000002,Tl0.087Sr0.621Ag0.292
Tl-Sr-Sn,yes,5.8534034444444325,Tl0.345Sr0.132Sn0.523
Tl-Sr-In,yes,4.555859365079365,Tl0.054Sr0.904In0.042
Tl-Sr-Ge,yes,4.855436388888894,Tl0.096Sr0.825Ge0.079
Tl-Sr-Zn,yes,4.368832777777777,Tl0.141Sr0.856Zn0.003
Tl-Sr-Ru,yes,3.9987433333333327,Tl0.219Sr0.777Ru0.004
Tl-Sr-Hf,yes,4.809620674603169,Tl0.018Sr0.674Hf0.308
Tl-Sr-Nb,yes,6.71900166666667,Tl0.193Sr0.053Nb0.754
Tl-Sr-Pt,yes,4.487725158730158,Tl0.065Sr0.923Pt0.012
Tl-Sr-Pd,yes,4.614345833333333,Tl0.045Sr0.793Pd0.162
Tl-Sr-Ta,yes,4.834775028998777,Tl0.012Sr0.508Ta0.480
Tl-Sr-Mo,yes,4.587306944444443,Tl0.012Sr0.822Mo0.166
Tl-Sr-Tc,yes,9.954124657287164,Tl0.021Sr0.063Tc0.916
Tl-Sr-Rh,yes,4.555060476190476,Tl0.056Sr0.943Rh0.001
Tl-Sr-Os,yes,3.590729515873016,Tl0.014Sr0.974Os0.012
Tl-Sr-Ti,yes,4.640055198412696,Tl0.006Sr0.741Ti0.253
Tl-Sr-Ir,yes,4.363590238095236,Tl0.354Sr0.640Ir0.006
Tl-Sr-Sb,yes,5.065455793650801,Tl0.197Sr0.627Sb0.176
Tl-Sr-Au,yes,4.533935476190476,Tl0.096Sr0.880Au0.024
Tl-Sr-Th,yes,4.876094404761905,Tl0.018Sr0.849Th0.133
Tl-Sr-Pu,yes,10.003485036722536,Tl0.341Sr0.157Pu0.502
Tl-Sr-Mg,yes,4.504650555555556,Tl0.017Sr0.962Mg0.021
Tl-Sr-U,yes,0.939531063492062,Tl0.150Sr0.821U0.029
Tl-Sr-Np,yes,4.595262698412698,Tl0.004Sr0.608Np0.388
Tl-Ca-Y,yes,22.04801640211641,Tl0.010Ca0.905Y0.085
Tl-Ca-Cu,yes,22.04801640211641,Tl0.010Ca0.971Cu0.019
Tl-Ca-Ba,yes,22.04801640211641,Tl0.017Ca0.880Ba0.103
Tl-Ca-La,yes,21.81137195767196,Tl0.010Ca0.965La0.025
Tl-Ca-Bi,yes,18.76522174603175,Tl0.254Ca0.744Bi0.002
Tl-Ca-Ce,yes,22.04521640211641,Tl0.026Ca0.958Ce0.016
Tl-Ca-Fe,yes,20.172331957671968,Tl0.036Ca0.910Fe0.054
Tl-Ca-Li,yes,22.04801640211641,Tl0.034Ca0.925Li0.041
Tl-Ca-Hg,yes,22.04801640211641,Tl0.050Ca0.945Hg0.005
Tl-Ca-V,yes,21.78312751322752,Tl0.107Ca0.880V0.013
Tl-Ca-Cr,yes,22.05501640211641,Tl0.071Ca0.880Cr0.049
Tl-Ca-Re,yes,21.76446084656085,Tl0.033Ca0.947Re0.020
Tl-Ca-Nd,yes,22.04801640211641,Tl0.061Ca0.933Nd0.006
Tl-Ca-Gd,yes,22.04526306878308,Tl0.044Ca0.876Gd0.080
Tl-Ca-Yb,yes,22.04801640211641,Tl0.052Ca0.933Yb0.015
Tl-Ca-Sm,yes,22.04801640211641,Tl0.053Ca0.899Sm0.048
Tl-Ca-Eu,yes,22.04801640211641,Tl0.011Ca0.962Eu0.027
Tl-Ca-Dy,yes,22.04801640211641,Tl0.003Ca0.888Dy0.109
Tl-Ca-Ho,yes,22.04801640211641,Tl0.104Ca0.882Ho0.014
Tl-Ca-Be,yes,22.04801640211641,Tl0.039Ca0.931Be0.030
Tl-Ca-Er,yes,22.04801640211641,Tl0.040Ca0.883Er0.077
Tl-Ca-Al,yes,22.04801640211641,Tl0.007Ca0.972Al0.021
Tl-Ca-Co,yes,21.724703068783075,Tl0.031Ca0.920Co0.049
Tl-Ca-Pr,yes,22.04801640211641,Tl0.047Ca0.941Pr0.012
