elements,calculated,Predicted_Tc,Elements
Tl-Pb-Sr,yes,10.326453611111113,Tl0.121Pb0.843Sr0.036
Tl-Pb-Ca,yes,16.02525638888886,Tl0.021Pb0.085Ca0.894
Tl-Pb-Y,yes,6.959271388888883,Tl0.020Pb0.916Y0.064
Tl-Pb-Cu,yes,6.907794166666656,Tl0.032Pb0.933Cu0.035
Tl-Pb-Ba,yes,9.086922896825394,Tl0.089Pb0.402Ba0.509
Tl-Pb-La,yes,7.00409361111111,Tl0.051Pb0.921La0.028
Tl-Pb-Bi,yes,8.470367777777788,Tl0.014Pb0.344Bi0.642
Tl-Pb-Ce,yes,6.883400555555542,Tl0.042Pb0.904Ce0.054
Tl-Pb-Fe,yes,7.016328333333322,Tl0.022Pb0.945Fe0.033
Tl-Pb-Li,yes,11.154588888888863,Tl0.016Pb0.065Li0.919
Tl-Pb-Hg,yes,7.185136888888874,Pb0.998Hg0.002
Tl-Pb-V,yes,7.191079055555547,Tl0.007Pb0.985V0.008
Tl-Pb-Cr,yes,6.957018888888874,Tl0.029Pb0.924Cr0.047
Tl-Pb-Re,yes,7.020343055555548,Tl0.019Pb0.912Re0.069
Tl-Pb-Nd,yes,6.979863333333319,Tl0.035Pb0.874Nd0.091
Tl-Pb-Gd,yes,7.101216666666663,Tl0.015Pb0.680Gd0.305
Tl-Pb-Yb,yes,7.1364834999999855,Tl0.004Pb0.994Yb0.002
Tl-Pb-Sm,yes,7.128906666666664,Tl0.020Pb0.979Sm0.001
Tl-Pb-Eu,yes,7.1091479444444365,Tl0.006Pb0.948Eu0.046
Tl-Pb-Dy,yes,7.090852777777769,Tl0.027Pb0.937Dy0.036
Tl-Pb-Ho,yes,7.13789438888888,Tl0.006Pb0.985Ho0.009
Tl-Pb-Be,yes,8.988578888888874,Tl0.068Pb0.140Be0.792
Tl-Pb-Er,yes,7.089724166666658,Tl0.022Pb0.941Er0.037
Tl-Pb-Al,yes,7.045382111111103,Tl0.005Pb0.989Al0.006
Tl-Pb-Co,yes,7.030004444444431,Tl0.029Pb0.923Co0.048
Tl-Pb-Pr,yes,7.019188055555552,Tl0.015Pb0.973Pr0.012
Tl-Pb-Cs,yes,7.065258611111088,Tl0.038Pb0.942Cs0.020
Tl-Pb-Rb,yes,6.967073055555549,Tl0.049Pb0.898Rb0.053
Tl-Pb-Cd,yes,7.060213308080809,Tl0.016Pb0.928Cd0.056
Tl-Pb-Ga,yes,8.76821867521366,Tl0.071Pb0.034Ga0.895
Tl-Pb-K,yes,10.772893333333336,Tl0.037Pb0.776K0.187
Tl-Pb-Na,yes,7.0505819444444535,Tl0.059Pb0.919Na0.022
Tl-Pb-Ni,yes,6.910669722222215,Tl0.020Pb0.963Ni0.017
Tl-Pb-Tm,yes,7.015934230769225,Tl0.023Pb0.246Tm0.731
Tl-Pb-Lu,yes,7.031217499999992,Tl0.016Pb0.917Lu0.067
Tl-Pb-Zr,yes,6.69152500000001,Tl0.123Pb0.863Zr0.014
